epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.17728066444397,4.174091614209688,0.0,0.005,0.495,0.235,0.11,0.025,0.02,0.01,0.085,0.035
2,3.8768953321308923,4.168022247461172,0.0,0.005,0.525,0.25,0.12,0.03,0.04,0.015,0.12,0.055
3,3.488679261043154,4.007965977375324,0.0,0.015,0.72,0.47,0.225,0.07,0.05,0.025,0.26,0.14
4,3.105648476501991,3.762679962011484,0.0,0.03,0.715,0.52,0.265,0.07,0.06,0.055,0.285,0.18
5,2.825546846307557,3.5384767605708194,0.0,0.05,0.78,0.54,0.325,0.12,0.11,0.08,0.405,0.215
6,2.5814703774863275,3.3308997521033654,0.0,0.055,0.81,0.59,0.41,0.15,0.12,0.08,0.43,0.295
7,2.331824978877758,3.154277517245366,0.0,0.045,0.86,0.645,0.44,0.205,0.15,0.085,0.495,0.325
8,2.0745289048244215,3.017235306593088,0.0,0.05,0.83,0.66,0.475,0.225,0.16,0.105,0.515,0.39
9,1.8154041181350578,2.916730862397414,0.0,0.06,0.87,0.665,0.51,0.265,0.195,0.1,0.565,0.41
10,1.5806051230636136,2.845774714763348,0.0,0.065,0.905,0.765,0.51,0.3,0.225,0.125,0.615,0.435
11,1.3471658502159447,2.801810392966637,0.0,0.095,0.905,0.745,0.52,0.305,0.27,0.155,0.605,0.42
12,1.1434011014884915,2.7797476144937368,0.0,0.085,0.88,0.73,0.55,0.32,0.265,0.145,0.59,0.435
13,0.9647339045487601,2.7765403344080997,0.0,0.095,0.89,0.74,0.565,0.335,0.24,0.16,0.615,0.445
14,0.8173281565822405,2.7876116587565494,0.0,0.105,0.905,0.755,0.62,0.335,0.225,0.16,0.62,0.45
15,0.7013674296181778,2.8079598133380594,0.0,0.1,0.93,0.8,0.545,0.32,0.245,0.17,0.615,0.485
16,0.6023891527077248,2.8341268484409037,0.0,0.105,0.91,0.765,0.505,0.32,0.28,0.16,0.59,0.48
17,0.5107310328247219,2.8655755794965305,0.0,0.11,0.905,0.74,0.545,0.335,0.27,0.155,0.63,0.49
18,0.4426976037693435,2.900317531365615,0.0,0.12,0.85,0.72,0.545,0.325,0.28,0.16,0.6,0.435
19,0.3910082281920417,2.9350345593232374,0.0,0.12,0.9,0.775,0.58,0.33,0.255,0.18,0.62,0.46
20,0.35727453039124096,2.971645015936631,0.0,0.115,0.89,0.755,0.535,0.33,0.27,0.16,0.625,0.455
21,0.323505902084811,3.0035018829198985,0.0,0.115,0.875,0.75,0.565,0.33,0.235,0.17,0.635,0.455
22,0.2854204809871213,3.0334903185184183,0.0,0.115,0.92,0.72,0.545,0.325,0.235,0.155,0.615,0.445
23,0.26036667958672705,3.059889344068674,0.0,0.115,0.84,0.735,0.575,0.33,0.235,0.18,0.645,0.42
