epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,3.6423635956663523,3.414002423634345,0.0,0.07,0.82,0.61,0.405,0.195,0.16,0.115,0.45,0.285
2,2.9149015243692484,2.8162279149493434,0.0,0.075,0.84,0.71,0.47,0.23,0.16,0.105,0.525,0.385
3,2.5268520246096564,2.490656531419877,0.0,0.095,0.865,0.705,0.52,0.28,0.21,0.145,0.57,0.405
4,2.219617683068452,2.2866537729558005,0.0,0.12,0.885,0.745,0.545,0.28,0.25,0.165,0.57,0.42
5,1.9523239838581476,2.15905356049026,0.0,0.12,0.88,0.7,0.54,0.305,0.245,0.145,0.575,0.42
6,1.7096921554662028,2.0992402590395556,0.0,0.13,0.86,0.7,0.525,0.325,0.285,0.185,0.63,0.425
7,1.4915101341921009,2.087816959286964,0.0,0.135,0.87,0.715,0.495,0.345,0.28,0.185,0.6,0.465
8,1.2922933544773152,2.129514282865074,0.0,0.12,0.855,0.695,0.54,0.34,0.245,0.16,0.625,0.47
9,1.1157834496557342,2.1988900239887155,0.0,0.09,0.895,0.73,0.545,0.32,0.25,0.14,0.595,0.475
10,0.9675982883827458,2.286227154629425,0.0,0.08,0.835,0.715,0.545,0.32,0.235,0.155,0.625,0.465
11,0.8413565790203275,2.3789473444607125,0.0,0.09,0.85,0.735,0.545,0.31,0.27,0.145,0.585,0.435
12,0.7418632408220461,2.468115823974937,0.0,0.08,0.895,0.68,0.505,0.31,0.23,0.135,0.61,0.44
13,0.6642585622028364,2.5658638134534777,0.0,0.085,0.87,0.735,0.495,0.33,0.235,0.125,0.59,0.455
14,0.5991303486312569,2.6307368984549853,0.0,0.105,0.885,0.74,0.545,0.29,0.265,0.14,0.63,0.42
15,0.5474751780705764,2.6966355333000807,0.0,0.085,0.855,0.71,0.515,0.3,0.28,0.18,0.61,0.465
16,0.5015966657796547,2.7175930150077066,0.0,0.085,0.845,0.715,0.5,0.32,0.255,0.125,0.595,0.44
17,0.46461517255213974,2.7389161371877777,0.0,0.08,0.875,0.675,0.49,0.29,0.235,0.145,0.595,0.405
