epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,8.499556151769495,8.039284018369822,0.0,0.005,0.53,0.22,0.12,0.03,0.015,0.01,0.1,0.05
2,5.174623730362103,5.691768169403076,0.0,0.005,0.49,0.225,0.11,0.025,0.02,0.01,0.105,0.055
3,5.038027621853736,5.072015166282654,0.0,0.005,0.45,0.245,0.11,0.025,0.015,0.01,0.11,0.045
4,4.975539227967621,4.920292184903071,0.0,0.005,0.5,0.265,0.095,0.025,0.02,0.01,0.08,0.04
5,4.9421177679492585,4.876573333373437,0.0,0.0,0.505,0.21,0.08,0.02,0.02,0.005,0.095,0.055
6,4.914551234501665,4.862315847323491,0.0,0.0,0.46,0.235,0.105,0.02,0.03,0.0,0.08,0.05
7,4.5039199613755745,4.854793071746826,0.0,0.0,0.55,0.335,0.16,0.035,0.015,0.005,0.155,0.08
8,4.128962670090378,4.73262685078841,0.0,0.05,0.775,0.59,0.325,0.15,0.13,0.08,0.42,0.235
9,3.7597123012747815,4.481922039618859,0.0,0.1,0.88,0.69,0.53,0.315,0.22,0.17,0.595,0.445
10,3.350484182501352,4.207910968707158,0.0,0.125,0.915,0.755,0.555,0.345,0.275,0.205,0.625,0.47
11,2.876010258992513,4.023420260502742,0.0,0.11,0.88,0.76,0.55,0.35,0.275,0.175,0.625,0.485
12,2.2894576985348936,4.004890267665569,0.0,0.13,0.88,0.775,0.595,0.345,0.295,0.215,0.645,0.47
13,1.6920079092825613,4.161661038031945,0.0,0.14,0.895,0.785,0.545,0.35,0.29,0.215,0.645,0.495
14,1.2048161878380723,4.490661428524898,0.0,0.13,0.905,0.78,0.535,0.355,0.315,0.21,0.65,0.455
15,0.8613447537986181,4.970478855646574,0.0,0.11,0.86,0.795,0.6,0.37,0.29,0.18,0.62,0.47
16,0.6542806093410779,5.5175110743596,0.0,0.105,0.895,0.735,0.55,0.36,0.29,0.19,0.63,0.47
17,0.5272171851127379,6.061589323557341,0.0,0.115,0.895,0.775,0.575,0.34,0.255,0.185,0.64,0.48
18,0.44202168349937726,6.5531580448150635,0.0,0.095,0.87,0.77,0.57,0.335,0.255,0.16,0.625,0.47
19,0.38948974699102423,6.94364135998946,0.0,0.095,0.89,0.745,0.51,0.335,0.26,0.155,0.63,0.48
20,0.35709330917045634,7.239922541838426,0.0,0.095,0.85,0.78,0.545,0.355,0.255,0.175,0.605,0.49
21,0.32404697367580987,7.482318548055796,0.0,0.095,0.875,0.71,0.565,0.345,0.245,0.17,0.655,0.45
22,0.29697830459123015,7.677924908124483,0.0,0.1,0.895,0.69,0.525,0.35,0.235,0.155,0.605,0.445
