epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,5.361538569132487,5.23687586417565,0.0,0.015,0.595,0.375,0.2,0.06,0.05,0.03,0.185,0.095
2,4.470549483965802,5.31360675738408,0.0,0.045,0.815,0.575,0.39,0.155,0.125,0.075,0.44,0.275
3,4.200536870956421,4.676164746284485,0.0,0.075,0.88,0.705,0.485,0.23,0.175,0.12,0.595,0.39
4,4.009302311046149,4.427867999443641,0.0,0.1,0.88,0.755,0.555,0.305,0.235,0.135,0.61,0.465
5,3.8541830416648617,4.3123906804965095,0.0,0.125,0.93,0.78,0.605,0.325,0.265,0.17,0.64,0.485
6,3.7372886791024156,4.253385626352751,0.0,0.135,0.925,0.795,0.585,0.345,0.315,0.2,0.685,0.54
7,3.621196337156398,4.220948237639207,0.0,0.16,0.92,0.73,0.585,0.365,0.33,0.23,0.7,0.535
8,3.5233566345707064,4.208300430041093,0.0,0.14,0.905,0.845,0.575,0.375,0.335,0.215,0.69,0.505
9,3.4318287628953175,4.200240401121286,0.0,0.15,0.92,0.82,0.555,0.385,0.31,0.24,0.71,0.525
10,3.3531869206377256,4.201528595044063,0.0,0.15,0.905,0.765,0.59,0.375,0.325,0.255,0.695,0.52
11,3.279294220606486,4.209823851401989,0.0,0.14,0.925,0.85,0.6,0.38,0.345,0.21,0.72,0.515
12,3.2015541271496843,4.218770412298349,0.0,0.135,0.88,0.755,0.595,0.38,0.28,0.24,0.68,0.53
13,3.1395756685605614,4.234429662044231,0.0,0.12,0.925,0.78,0.585,0.375,0.315,0.175,0.64,0.495
14,3.074692295956355,4.249542396802169,0.0,0.125,0.905,0.81,0.615,0.38,0.26,0.185,0.685,0.51
15,3.026437476373488,4.2722105246323805,0.0,0.135,0.885,0.785,0.52,0.38,0.285,0.24,0.66,0.515
16,2.9698967928527504,4.2935428115037775,0.0,0.115,0.88,0.76,0.595,0.36,0.28,0.21,0.675,0.5
17,2.917975584153206,4.31752793605511,0.0,0.13,0.895,0.795,0.585,0.35,0.325,0.2,0.65,0.51
18,2.869106996700328,4.33935848566202,0.0,0.115,0.9,0.765,0.61,0.34,0.305,0.19,0.69,0.49
19,2.834935862530944,4.358339676490197,0.0,0.125,0.925,0.785,0.605,0.355,0.29,0.18,0.675,0.49
