epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,5.366201430487963,4.856183958667542,0.0,0.005,0.455,0.235,0.08,0.025,0.015,0.01,0.09,0.055
2,4.379974131486203,4.137905295826335,0.0,0.025,0.74,0.58,0.35,0.13,0.075,0.05,0.405,0.205
3,3.9643598673620466,3.8124016610337943,0.0,0.035,0.765,0.51,0.33,0.135,0.105,0.055,0.36,0.225
4,3.6883652811123318,3.6750816224470673,0.0,0.03,0.785,0.535,0.325,0.13,0.13,0.055,0.335,0.21
5,3.4807481479827036,3.625992489986665,0.0,0.04,0.75,0.505,0.335,0.155,0.12,0.075,0.375,0.23
6,3.3039782174853576,3.6271883146957267,0.0,0.03,0.77,0.535,0.35,0.115,0.105,0.065,0.37,0.235
7,3.146827695532615,3.6601273466077484,0.0,0.035,0.77,0.5,0.355,0.145,0.125,0.07,0.385,0.27
8,3.002876144530838,3.708619659039084,0.0,0.045,0.775,0.575,0.335,0.13,0.12,0.065,0.395,0.22
9,2.874887310199856,3.7654861068520935,0.0,0.04,0.75,0.545,0.35,0.14,0.125,0.075,0.37,0.24
10,2.7637439187041206,3.8282175058970633,0.0,0.035,0.77,0.52,0.28,0.15,0.11,0.08,0.39,0.265
11,2.6630272493941103,3.892609846950089,0.0,0.045,0.77,0.595,0.315,0.14,0.115,0.08,0.395,0.22
12,2.576283684684737,3.9588010249731367,0.0,0.03,0.77,0.63,0.345,0.125,0.12,0.075,0.375,0.225
13,2.497298305620147,4.020922161990481,0.0,0.045,0.74,0.6,0.28,0.135,0.085,0.06,0.375,0.26
14,2.426665020740835,4.085133864644259,0.0,0.04,0.73,0.56,0.315,0.13,0.12,0.065,0.375,0.23
15,2.3642421210717766,4.143621711771887,0.0,0.04,0.775,0.62,0.345,0.12,0.11,0.08,0.37,0.245
