epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.339701236320043,4.312893600545378,0.0,0.045,0.78,0.555,0.3,0.11,0.105,0.055,0.385,0.245
2,3.8435699709514815,3.8418481981652413,0.0,0.08,0.87,0.68,0.475,0.22,0.175,0.105,0.56,0.355
3,3.6200059877982786,3.621148567933303,0.0,0.065,0.89,0.72,0.45,0.25,0.175,0.105,0.6,0.41
4,3.4350920525837125,3.4359524637205987,0.0,0.07,0.88,0.695,0.48,0.23,0.18,0.095,0.545,0.38
5,3.2762344118286046,3.281789985477415,0.0,0.06,0.875,0.74,0.53,0.275,0.22,0.125,0.55,0.425
6,3.140901838616249,3.1714036322047567,0.0,0.07,0.9,0.75,0.495,0.27,0.235,0.14,0.58,0.4
7,3.027683745378746,3.088903005306537,0.0,0.065,0.87,0.68,0.45,0.265,0.21,0.15,0.6,0.43
8,2.9299036401179737,3.042031525546669,0.0,0.065,0.86,0.715,0.53,0.28,0.225,0.125,0.59,0.455
9,2.8417174690768094,3.008385281277518,0.0,0.045,0.88,0.71,0.505,0.29,0.22,0.135,0.59,0.435
10,2.7682687454424215,2.989615396556691,0.0,0.05,0.89,0.705,0.515,0.3,0.2,0.13,0.63,0.46
11,2.691882802241163,2.9578937465309076,0.0,0.045,0.855,0.705,0.54,0.295,0.215,0.11,0.615,0.45
12,2.633190917923163,2.9217535359227758,0.0,0.055,0.865,0.735,0.54,0.3,0.225,0.11,0.59,0.475
13,2.5714549266129563,2.9335791361637606,0.0,0.05,0.875,0.715,0.56,0.32,0.195,0.085,0.625,0.465
14,2.5167906236466213,2.919434509725652,0.0,0.06,0.85,0.705,0.54,0.315,0.235,0.115,0.61,0.445
15,2.465773483991167,2.9297200930424228,0.0,0.05,0.8,0.715,0.515,0.32,0.235,0.13,0.62,0.47
16,2.417039336939387,2.954603715839549,0.0,0.055,0.855,0.775,0.48,0.31,0.215,0.12,0.605,0.455
17,2.3760961394464992,2.937278364458655,0.0,0.055,0.875,0.69,0.55,0.31,0.275,0.13,0.62,0.45
18,2.334101237712809,2.933378733121432,0.0,0.055,0.86,0.735,0.505,0.325,0.18,0.12,0.605,0.435
19,2.291060159014926,2.962165056130825,0.0,0.045,0.87,0.75,0.5,0.32,0.24,0.115,0.63,0.445
20,2.2526511482709224,2.939974467978518,0.0,0.045,0.88,0.75,0.505,0.305,0.23,0.125,0.595,0.455
21,2.222070281751753,2.926036674752195,0.0,0.05,0.875,0.725,0.525,0.285,0.17,0.125,0.605,0.45
22,2.183479400825318,2.9230405560925474,0.0,0.045,0.85,0.7,0.545,0.295,0.2,0.11,0.59,0.465
23,2.1537292603097042,2.9745938013761473,0.0,0.055,0.85,0.685,0.525,0.29,0.21,0.12,0.56,0.44
24,2.124764013700686,2.9818818874848194,0.0,0.05,0.875,0.7,0.5,0.32,0.21,0.12,0.6,0.445
