epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,5.182402085745206,5.0784173378577595,0.0,0.025,0.66,0.475,0.265,0.05,0.055,0.03,0.28,0.14
2,4.2016180464016495,4.9980530096934395,0.0,0.055,0.91,0.7,0.46,0.215,0.175,0.09,0.56,0.365
3,3.825714046724381,4.395037440153269,0.0,0.1,0.935,0.835,0.605,0.39,0.295,0.18,0.72,0.56
4,3.5611400593993485,4.129695085378794,0.0,0.13,0.945,0.825,0.64,0.455,0.315,0.17,0.76,0.655
5,3.36731242569544,3.9927261013251085,0.0,0.185,0.945,0.895,0.7,0.49,0.365,0.245,0.785,0.67
6,3.219115342888781,3.9148904406107388,0.0,0.195,0.96,0.86,0.725,0.53,0.38,0.33,0.79,0.68
7,3.0934807336458596,3.866322031387916,0.0,0.175,0.94,0.825,0.73,0.515,0.39,0.3,0.81,0.69
8,2.981178081163796,3.8383141114161563,0.0,0.2,0.945,0.89,0.71,0.525,0.415,0.285,0.815,0.705
9,2.88119128904035,3.826112155730908,0.0,0.2,0.95,0.86,0.68,0.54,0.44,0.285,0.825,0.695
10,2.808401248275593,3.823688960992373,0.0,0.21,0.9,0.88,0.715,0.52,0.41,0.315,0.84,0.685
11,2.725725422623337,3.8201014537077684,0.0,0.21,0.955,0.87,0.735,0.52,0.43,0.32,0.805,0.695
12,2.652947061805315,3.8270377287497888,0.0,0.23,0.94,0.87,0.765,0.545,0.445,0.35,0.805,0.675
13,2.5847825470791066,3.8352876534828773,0.0,0.23,0.955,0.87,0.73,0.54,0.455,0.345,0.795,0.665
14,2.5271615459072976,3.848016243714553,0.0,0.23,0.93,0.855,0.74,0.53,0.415,0.315,0.8,0.665
15,2.4694138542298347,3.8593431390248814,0.0,0.225,0.945,0.85,0.695,0.535,0.405,0.315,0.815,0.655
16,2.416556936951094,3.870845473729647,0.0,0.22,0.965,0.855,0.705,0.52,0.42,0.315,0.82,0.67
17,2.3747309630916966,3.890750687855941,0.0,0.22,0.925,0.855,0.68,0.515,0.405,0.315,0.8,0.67
18,2.3355768847209153,3.909617006778717,0.0,0.21,0.915,0.86,0.72,0.5,0.435,0.285,0.82,0.66
19,2.2955166078382923,3.923100856634287,0.0,0.19,0.95,0.86,0.74,0.515,0.42,0.275,0.815,0.67
20,2.2526808966872514,3.941125654257261,0.0,0.195,0.925,0.87,0.715,0.52,0.375,0.28,0.775,0.67
21,2.2166996520052673,3.95983893596209,0.0,0.19,0.925,0.845,0.725,0.515,0.395,0.28,0.815,0.67
