epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.176226989976291,4.175560070918157,0.0,0.005,0.495,0.245,0.09,0.04,0.01,0.005,0.11,0.05
2,3.9454877756792923,4.1612379642633295,0.0,0.005,0.54,0.25,0.135,0.025,0.025,0.01,0.11,0.065
3,3.546285231565607,4.035600799780625,0.0,0.005,0.575,0.33,0.125,0.055,0.035,0.03,0.125,0.06
4,3.199773686713186,3.809799909591675,0.0,0.01,0.63,0.42,0.235,0.05,0.06,0.015,0.205,0.125
5,2.906471493942984,3.6012341242570143,0.0,0.03,0.66,0.455,0.255,0.1,0.07,0.055,0.28,0.17
6,2.6417660805685768,3.398444964335515,0.0,0.045,0.74,0.55,0.345,0.15,0.1,0.065,0.355,0.255
7,2.3696667654760954,3.2230478066664476,0.0,0.055,0.825,0.595,0.41,0.175,0.145,0.095,0.435,0.295
8,2.0996602681176415,3.0841271602190456,0.0,0.07,0.875,0.65,0.43,0.2,0.17,0.12,0.455,0.335
9,1.8358895958497607,2.981864562401405,0.0,0.075,0.875,0.68,0.47,0.225,0.175,0.11,0.49,0.35
10,1.5855662570945148,2.9119490201656637,0.0,0.065,0.87,0.72,0.485,0.245,0.19,0.12,0.56,0.355
11,1.3441619431150371,2.868988137978774,0.0,0.075,0.88,0.7,0.47,0.275,0.205,0.14,0.575,0.415
12,1.1333121775553143,2.8492498306127696,0.0,0.08,0.885,0.695,0.5,0.275,0.215,0.135,0.595,0.405
13,0.9607806637369353,2.8453081387739916,0.0,0.08,0.895,0.705,0.51,0.3,0.24,0.14,0.62,0.435
14,0.8170337782337748,2.854830952791067,0.0,0.08,0.895,0.745,0.555,0.29,0.21,0.155,0.57,0.425
15,0.6920496944723458,2.872875140263484,0.0,0.09,0.85,0.715,0.575,0.27,0.23,0.14,0.6,0.415
16,0.5929797813296318,2.89707520374885,0.0,0.09,0.885,0.735,0.555,0.285,0.235,0.15,0.615,0.45
17,0.513387795923085,2.9272560523106503,0.0,0.1,0.89,0.71,0.55,0.3,0.24,0.14,0.595,0.425
18,0.4538790551495963,2.958169597845811,0.0,0.11,0.92,0.745,0.53,0.285,0.21,0.15,0.58,0.425
19,0.3993164136491973,2.988003895832942,0.0,0.11,0.86,0.76,0.515,0.3,0.25,0.18,0.6,0.455
20,0.3478062588336139,3.018785650913532,0.0,0.115,0.845,0.715,0.565,0.315,0.255,0.155,0.61,0.475
21,0.31850453177145843,3.050801524749169,0.0,0.125,0.86,0.69,0.515,0.315,0.225,0.155,0.595,0.455
22,0.2855488609779498,3.0826046008330126,0.0,0.125,0.88,0.75,0.56,0.31,0.265,0.175,0.575,0.46
23,0.26036011710249146,3.113935012083787,0.0,0.12,0.865,0.75,0.54,0.305,0.24,0.16,0.625,0.46
