epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.361441144751773,4.313865655507797,0.0,0.045,0.78,0.575,0.345,0.125,0.105,0.065,0.38,0.23
2,3.8836972610900324,3.896537591249515,0.0,0.065,0.89,0.68,0.45,0.26,0.215,0.125,0.555,0.355
3,3.650131085862621,3.645706973524175,0.0,0.09,0.88,0.735,0.52,0.31,0.29,0.175,0.63,0.44
4,3.4798561348286,3.462436140093029,0.0,0.125,0.905,0.78,0.52,0.33,0.26,0.185,0.62,0.46
5,3.323709626726621,3.349085913764106,0.0,0.12,0.915,0.77,0.54,0.365,0.255,0.19,0.615,0.45
6,3.192188791517546,3.2139592985821586,0.0,0.135,0.92,0.765,0.555,0.37,0.295,0.22,0.655,0.45
7,3.0728478415746308,3.1242804180862556,0.0,0.14,0.92,0.755,0.61,0.38,0.315,0.215,0.6,0.45
8,2.9738834594905263,3.062141014979436,0.0,0.16,0.91,0.755,0.55,0.37,0.32,0.23,0.67,0.475
9,2.879024192890291,3.019347871470655,0.0,0.155,0.915,0.745,0.595,0.355,0.31,0.23,0.635,0.465
10,2.8001656999551545,2.9761021279881144,0.0,0.155,0.9,0.76,0.565,0.37,0.265,0.205,0.635,0.485
11,2.725010384337168,2.9338449586150994,0.0,0.15,0.86,0.805,0.56,0.36,0.28,0.2,0.66,0.495
12,2.6658164766504933,2.928600132974804,0.0,0.14,0.875,0.79,0.585,0.355,0.31,0.18,0.675,0.5
13,2.600795367707714,2.937468070250291,0.0,0.155,0.92,0.74,0.6,0.35,0.285,0.2,0.675,0.505
14,2.5473863852867433,2.9125467131280494,0.0,0.145,0.9,0.755,0.57,0.355,0.28,0.195,0.645,0.48
15,2.4938106956263115,2.944759217082945,0.0,0.15,0.895,0.775,0.58,0.355,0.265,0.19,0.65,0.495
16,2.446645041040891,2.91121665840475,0.0,0.135,0.895,0.73,0.54,0.315,0.27,0.175,0.645,0.46
17,2.399276525750899,2.883262827865079,0.0,0.125,0.865,0.765,0.565,0.335,0.285,0.17,0.655,0.455
18,2.3556220197540854,2.8823232620190353,0.0,0.12,0.9,0.77,0.565,0.33,0.265,0.17,0.655,0.51
19,2.3138399070581106,2.906343235928788,0.0,0.13,0.88,0.74,0.555,0.33,0.28,0.165,0.64,0.485
20,2.272937081512028,2.922678678463667,0.0,0.125,0.9,0.77,0.535,0.345,0.28,0.16,0.65,0.475
21,2.239223882413503,2.9283187368996124,0.0,0.13,0.895,0.76,0.6,0.345,0.29,0.19,0.655,0.485
22,2.2120609686889794,2.9698141252892647,0.0,0.12,0.865,0.765,0.57,0.35,0.25,0.19,0.645,0.53
23,2.1728209083896295,2.994207991494073,0.0,0.1,0.875,0.745,0.525,0.335,0.27,0.155,0.64,0.47
24,2.1458054134768236,2.917335067039881,0.0,0.095,0.88,0.73,0.545,0.365,0.265,0.15,0.66,0.485
25,2.1173851276902806,2.974457735689277,0.0,0.115,0.895,0.725,0.555,0.37,0.275,0.185,0.645,0.485
26,2.0903182549412804,2.9289640493882008,0.0,0.115,0.92,0.78,0.57,0.365,0.29,0.18,0.635,0.495
27,2.0626588641571497,2.9035487317631388,0.0,0.105,0.905,0.745,0.55,0.34,0.225,0.165,0.645,0.46
28,2.038204553934174,2.944773787107223,0.0,0.125,0.885,0.74,0.63,0.33,0.27,0.175,0.635,0.47
