epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,8.433091662006994,7.949565869111281,0.0,0.005,0.54,0.24,0.115,0.025,0.02,0.01,0.1,0.035
2,5.167300062282111,5.629138983212984,0.0,0.005,0.45,0.245,0.1,0.025,0.02,0.01,0.105,0.045
3,5.034233858252084,5.059126276236314,0.0,0.005,0.43,0.245,0.11,0.03,0.025,0.005,0.105,0.045
4,4.9726806497061125,4.917420268058777,0.0,0.005,0.515,0.22,0.13,0.03,0.02,0.01,0.105,0.06
5,4.821073728992093,4.8765183962308445,0.0,0.005,0.515,0.245,0.085,0.025,0.02,0.015,0.115,0.05
6,4.188284936002506,4.825418298061077,0.0,0.03,0.63,0.46,0.195,0.085,0.06,0.045,0.265,0.135
7,3.6516647256830685,4.551027380503141,0.0,0.115,0.9,0.72,0.54,0.34,0.325,0.18,0.645,0.465
8,3.2897511774493804,4.150421876173753,0.0,0.215,0.94,0.85,0.685,0.44,0.38,0.275,0.78,0.63
9,2.885022276191301,3.8585059413543115,0.0,0.235,0.915,0.84,0.76,0.505,0.42,0.325,0.78,0.685
10,2.3972383324817943,3.7609140368608327,0.0,0.25,0.955,0.885,0.7,0.545,0.43,0.36,0.785,0.7
11,1.8574651702757805,3.829495186989124,0.0,0.225,0.945,0.855,0.7,0.53,0.465,0.305,0.8,0.655
12,1.3441078415480994,4.050090652245742,0.0,0.23,0.945,0.84,0.755,0.515,0.4,0.34,0.785,0.66
13,0.9596420959759784,4.40971827507019,0.0,0.22,0.94,0.855,0.665,0.505,0.385,0.275,0.77,0.635
14,0.7046596985991284,4.868036728638869,0.0,0.2,0.97,0.84,0.695,0.485,0.4,0.295,0.78,0.615
15,0.5555765837751409,5.333842158317566,0.0,0.2,0.955,0.805,0.7,0.47,0.38,0.28,0.76,0.62
16,0.4544271259859044,5.782103116695698,0.0,0.205,0.95,0.82,0.675,0.46,0.385,0.285,0.795,0.585
17,0.4029848063825279,6.171347425534175,0.0,0.215,0.935,0.83,0.67,0.46,0.36,0.305,0.735,0.59
18,0.35818585775872713,6.491173652502207,0.0,0.195,0.9,0.835,0.705,0.46,0.34,0.28,0.75,0.63
19,0.32877892557010857,6.741009968977708,0.0,0.205,0.925,0.835,0.605,0.46,0.415,0.26,0.76,0.615
20,0.2981625453118355,6.929331513551565,0.0,0.205,0.895,0.8,0.625,0.455,0.365,0.32,0.74,0.605
