epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
54,4.599497509002686,4.63254911165971,0.0,0.02,0.66,0.47,0.29,0.1,0.055,0.025,0.265,0.155
55,4.564607427453482,4.594115238923293,0.0,0.02,0.745,0.445,0.24,0.11,0.08,0.045,0.235,0.185
56,4.532137085289084,4.5597013876988335,0.0,0.02,0.7,0.495,0.265,0.125,0.095,0.045,0.27,0.19
57,4.510963973178659,4.52847081881303,0.0,0.02,0.765,0.52,0.32,0.13,0.11,0.045,0.295,0.215
58,4.474665045994584,4.501409081312326,0.0,0.02,0.745,0.54,0.325,0.13,0.085,0.055,0.31,0.205
59,4.455195973509102,4.476692896622878,0.0,0.02,0.75,0.505,0.315,0.13,0.105,0.03,0.305,0.205
60,4.434315426118912,4.4549913589770975,0.0,0.02,0.72,0.515,0.3,0.13,0.115,0.045,0.33,0.225
61,4.4206141061680295,4.43542939883012,0.0,0.02,0.745,0.505,0.285,0.14,0.105,0.045,0.35,0.23
62,4.39916260421917,4.41802572287046,0.0,0.02,0.79,0.54,0.325,0.15,0.11,0.06,0.33,0.22
63,4.389731646096835,4.404236614704132,0.0,0.02,0.735,0.51,0.27,0.155,0.095,0.065,0.34,0.22
64,4.371535025360764,4.388292422661414,0.0,0.02,0.785,0.555,0.36,0.165,0.135,0.05,0.375,0.26
65,4.3557937488761,4.374753764042487,0.0,0.02,0.755,0.54,0.33,0.18,0.12,0.05,0.355,0.245
66,4.342392434356033,4.362845420837402,0.0,0.025,0.805,0.57,0.325,0.17,0.12,0.06,0.385,0.26
67,4.333726546584919,4.353848631565388,0.0,0.025,0.83,0.585,0.335,0.175,0.115,0.075,0.38,0.245
68,4.322648459608837,4.343607737467839,0.0,0.03,0.78,0.585,0.36,0.18,0.105,0.085,0.39,0.265
69,4.316728162252775,4.33536283327983,0.0,0.025,0.81,0.595,0.335,0.175,0.12,0.055,0.42,0.265
70,4.304207507512903,4.328178249872648,0.0,0.025,0.785,0.59,0.32,0.185,0.125,0.055,0.425,0.27
71,4.296323205065984,4.319212693434495,0.0,0.04,0.825,0.62,0.38,0.17,0.12,0.09,0.425,0.255
72,4.283501601475542,4.312109740880819,0.0,0.035,0.815,0.61,0.355,0.185,0.145,0.07,0.415,0.28
73,4.281430085500081,4.306521461560176,0.0,0.035,0.84,0.605,0.385,0.195,0.135,0.08,0.43,0.265
74,4.271488751647293,4.299578162340017,0.0,0.035,0.845,0.635,0.365,0.185,0.14,0.095,0.43,0.27
75,4.264613734009445,4.296302222288572,0.0,0.035,0.805,0.66,0.415,0.2,0.14,0.065,0.455,0.3
76,4.2609373523343,4.290981237704937,0.0,0.04,0.83,0.69,0.375,0.205,0.14,0.085,0.445,0.27
77,4.248392430172172,4.286163765650529,0.0,0.04,0.835,0.595,0.365,0.2,0.13,0.08,0.45,0.305
78,4.242044445776171,4.2807613886319675,0.0,0.035,0.83,0.625,0.37,0.205,0.14,0.085,0.445,0.315
79,4.239626282517628,4.2781372253711405,0.0,0.035,0.845,0.61,0.395,0.205,0.145,0.09,0.455,0.31
80,4.235122579656622,4.272460556947268,0.0,0.035,0.84,0.66,0.405,0.215,0.12,0.065,0.475,0.31
81,4.224934693818451,4.269605888770177,0.0,0.04,0.82,0.62,0.425,0.205,0.17,0.09,0.455,0.3
82,4.219851322071527,4.267021564336924,0.0,0.04,0.83,0.66,0.41,0.21,0.16,0.105,0.46,0.34
83,4.2208186754616355,4.262919884461623,0.0,0.045,0.83,0.65,0.41,0.21,0.15,0.105,0.465,0.335
84,4.207141568071099,4.260429597817934,0.0,0.045,0.85,0.72,0.38,0.21,0.14,0.085,0.485,0.315
85,4.204936868913712,4.256682927791889,0.0,0.045,0.82,0.61,0.42,0.205,0.13,0.11,0.5,0.33
