epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.876821715256264,4.870875908778264,0.0,0.005,0.525,0.27,0.12,0.025,0.02,0.01,0.1,0.05
2,4.714026299016229,4.861583893115704,0.0,0.005,0.435,0.275,0.1,0.025,0.03,0.005,0.1,0.05
3,4.063173133751442,4.842661747565637,0.0,0.005,0.49,0.28,0.095,0.035,0.02,0.015,0.095,0.05
4,3.7879697557153373,4.7869547330416164,0.0,0.005,0.52,0.33,0.165,0.03,0.035,0.005,0.125,0.065
5,3.625331070916406,4.676034523890569,0.0,0.01,0.61,0.38,0.2,0.06,0.04,0.025,0.21,0.105
6,3.490097072617761,4.515798128568209,0.0,0.02,0.76,0.485,0.245,0.105,0.07,0.05,0.27,0.165
7,3.379527470161175,4.316412228804368,0.0,0.05,0.755,0.595,0.305,0.175,0.135,0.065,0.405,0.26
8,3.279927235225151,4.119679304269644,0.0,0.095,0.85,0.65,0.46,0.25,0.19,0.135,0.495,0.33
9,3.184248145284324,3.9742070528177114,0.0,0.115,0.835,0.715,0.53,0.295,0.225,0.19,0.59,0.4
10,3.099155171164151,3.832165167881892,0.0,0.135,0.905,0.775,0.585,0.38,0.3,0.22,0.675,0.54
11,3.0078679158769805,3.7336975244375377,0.0,0.16,0.92,0.79,0.625,0.45,0.33,0.26,0.745,0.585
12,2.922735771228527,3.6479125573084903,0.0,0.19,0.935,0.805,0.64,0.48,0.375,0.28,0.76,0.615
13,2.8416853238796365,3.5733476418715258,0.0,0.2,0.94,0.805,0.665,0.5,0.345,0.325,0.755,0.6
14,2.7662563159548004,3.5087303748497596,0.0,0.205,0.94,0.865,0.71,0.51,0.43,0.295,0.795,0.65
15,2.6755838250291757,3.4570256563333364,0.0,0.215,0.93,0.89,0.78,0.53,0.445,0.315,0.805,0.71
16,2.598149938830014,3.4101722423846903,0.0,0.225,0.95,0.865,0.775,0.56,0.42,0.315,0.81,0.715
17,2.5184237011547745,3.3710049115694485,0.0,0.23,0.96,0.89,0.69,0.58,0.48,0.345,0.82,0.725
18,2.436944842338562,3.3334880608778734,0.0,0.25,0.96,0.875,0.765,0.585,0.465,0.305,0.82,0.73
19,2.356662322734964,3.2977900138268104,0.0,0.255,0.96,0.87,0.715,0.615,0.51,0.345,0.835,0.72
20,2.2680806620367644,3.266911433293269,0.0,0.265,0.965,0.875,0.77,0.65,0.475,0.365,0.82,0.725
21,2.185012551217244,3.2375339911534238,0.0,0.275,0.94,0.895,0.77,0.65,0.495,0.325,0.81,0.73
22,2.1082989953715225,3.2120667971097507,0.0,0.28,0.96,0.92,0.74,0.66,0.5,0.36,0.82,0.77
23,2.0320896424096206,3.1880356715275693,0.0,0.29,0.955,0.9,0.8,0.665,0.52,0.375,0.84,0.74
24,1.951184527627353,3.1690525641808143,0.0,0.305,0.97,0.88,0.78,0.65,0.54,0.415,0.84,0.76
25,1.8673507499283757,3.1461627116570106,0.0,0.32,0.955,0.875,0.785,0.66,0.535,0.42,0.855,0.74
26,1.7831543416812503,3.1252376299638014,0.0,0.315,0.96,0.935,0.78,0.655,0.54,0.405,0.86,0.755
27,1.7142815291881561,3.113822625233577,0.0,0.335,0.97,0.89,0.775,0.67,0.53,0.425,0.865,0.77
28,1.6269798309638583,3.090995715214656,0.0,0.325,0.97,0.9,0.77,0.65,0.55,0.43,0.86,0.765
29,1.5607638071323264,3.080440429540781,0.0,0.33,0.975,0.885,0.83,0.66,0.52,0.44,0.865,0.765
30,1.4752294061512783,3.0600725137270413,0.0,0.33,0.965,0.89,0.78,0.665,0.51,0.455,0.875,0.765
31,1.4095196919194584,3.044229434086726,0.0,0.34,0.97,0.885,0.825,0.68,0.545,0.43,0.85,0.775
32,1.338730887092393,3.0323955645928016,0.0,0.35,0.97,0.89,0.745,0.68,0.58,0.435,0.85,0.765
33,1.2689520408367287,3.025504754139827,0.0,0.335,0.985,0.925,0.81,0.68,0.565,0.44,0.86,0.805
34,1.196668782110872,3.012170278109037,0.0,0.345,0.97,0.91,0.805,0.675,0.535,0.465,0.88,0.775
35,1.1333316102110107,3.00171973155095,0.0,0.36,0.96,0.94,0.79,0.68,0.565,0.455,0.86,0.78
36,1.0747423577925255,2.987407555946937,0.0,0.355,0.95,0.945,0.8,0.68,0.56,0.48,0.875,0.79
37,1.0028611503798386,2.988756674986619,0.0,0.365,0.97,0.9,0.85,0.695,0.595,0.455,0.895,0.795
38,0.9499431792004355,2.9824074598459096,0.0,0.37,0.965,0.95,0.84,0.695,0.545,0.445,0.885,0.785
39,0.9020255475208677,2.9748378166785607,0.0,0.36,0.985,0.91,0.835,0.7,0.56,0.455,0.88,0.775
40,0.8478574542136028,2.9774028337918796,0.0,0.365,0.975,0.93,0.8,0.7,0.56,0.48,0.875,0.79
