epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,3.6870283864071878,3.4441451617064907,0.0,0.03,0.81,0.555,0.33,0.11,0.08,0.06,0.365,0.205
2,2.8997348173918818,2.7885949652594046,0.0,0.055,0.79,0.69,0.425,0.2,0.145,0.085,0.42,0.27
3,2.492928971528893,2.4329773023916417,0.0,0.075,0.82,0.7,0.495,0.24,0.21,0.14,0.565,0.345
4,2.17417023225202,2.206457432759166,0.0,0.085,0.87,0.7,0.55,0.295,0.205,0.135,0.58,0.445
5,1.8995853006925187,2.063395002880833,0.0,0.085,0.845,0.74,0.575,0.285,0.19,0.13,0.58,0.425
6,1.6545084933601266,1.9898810320146094,0.0,0.085,0.895,0.71,0.495,0.29,0.235,0.155,0.625,0.455
7,1.4293566803526663,1.9659104562112701,0.0,0.105,0.87,0.705,0.505,0.29,0.225,0.17,0.62,0.42
8,1.2343997007571392,1.9935159105088067,0.0,0.075,0.86,0.73,0.52,0.28,0.21,0.12,0.59,0.405
9,1.0587359621544177,2.0601634815527134,0.0,0.07,0.83,0.7,0.515,0.275,0.195,0.145,0.585,0.435
10,0.9137707093202835,2.1377249904968196,0.0,0.085,0.82,0.705,0.54,0.3,0.22,0.135,0.56,0.425
11,0.7935531126843419,2.2205234423215807,0.0,0.09,0.875,0.68,0.5,0.305,0.255,0.155,0.615,0.44
12,0.7018993456740727,2.30719675884738,0.0,0.085,0.815,0.675,0.48,0.305,0.25,0.165,0.565,0.43
13,0.6257716228360487,2.383041809045194,0.0,0.095,0.83,0.655,0.49,0.315,0.225,0.155,0.535,0.39
14,0.5645819578481757,2.449227868743209,0.0,0.08,0.815,0.685,0.455,0.27,0.215,0.14,0.53,0.395
15,0.516402526358583,2.488801096641966,0.0,0.1,0.805,0.675,0.46,0.295,0.265,0.13,0.52,0.375
16,0.4763498946390708,2.5043191812580745,0.0,0.09,0.835,0.66,0.465,0.26,0.205,0.14,0.565,0.4
17,0.43430837948984125,2.525401262766302,0.0,0.08,0.835,0.655,0.445,0.25,0.185,0.16,0.52,0.38
