epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,3.526443820334597,3.252792145561251,0.0,0.02,0.79,0.55,0.345,0.145,0.085,0.055,0.4,0.255
2,2.8131511985999342,2.6980273457555812,0.0,0.05,0.885,0.745,0.5,0.24,0.185,0.11,0.555,0.335
3,2.426579994672346,2.381126301994651,0.0,0.085,0.835,0.775,0.495,0.245,0.195,0.14,0.57,0.41
4,2.112234729873012,2.1725093504901607,0.0,0.1,0.875,0.77,0.54,0.3,0.26,0.145,0.675,0.445
5,1.839512546895169,2.045907579266462,0.0,0.11,0.87,0.755,0.53,0.325,0.225,0.16,0.64,0.46
6,1.5973163445031193,1.984312701122955,0.0,0.11,0.85,0.765,0.56,0.325,0.285,0.175,0.67,0.46
7,1.3759812512468392,1.9787531968350063,0.0,0.105,0.895,0.71,0.595,0.33,0.265,0.18,0.605,0.475
8,1.1831593203931918,2.0125204452629255,0.0,0.095,0.89,0.705,0.525,0.345,0.25,0.185,0.63,0.49
9,1.0247095942611166,2.075467617726633,0.0,0.085,0.84,0.77,0.57,0.325,0.26,0.165,0.585,0.455
10,0.8851634322941958,2.1575519557674556,0.0,0.085,0.86,0.685,0.47,0.3,0.27,0.135,0.58,0.465
11,0.7707803003023642,2.2445914729981973,0.0,0.085,0.88,0.73,0.505,0.31,0.225,0.15,0.615,0.44
12,0.6830901521788906,2.3146341558178096,0.0,0.08,0.865,0.71,0.54,0.295,0.23,0.16,0.615,0.435
13,0.6147807837244545,2.391294281881766,0.0,0.085,0.87,0.695,0.525,0.31,0.25,0.155,0.57,0.445
14,0.5559878172170473,2.45471272396939,0.0,0.075,0.825,0.7,0.485,0.305,0.22,0.155,0.59,0.465
15,0.5150587686043405,2.505027932158867,0.0,0.085,0.88,0.69,0.495,0.28,0.235,0.15,0.585,0.42
16,0.47049046560189284,2.5185380734087572,0.0,0.09,0.85,0.675,0.53,0.295,0.24,0.145,0.6,0.44
17,0.43694175584032613,2.533913725435478,0.0,0.09,0.87,0.72,0.54,0.29,0.235,0.165,0.58,0.445
