epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.876461612767186,4.869617425478422,0.0,0.005,0.47,0.26,0.12,0.025,0.01,0.01,0.09,0.045
2,4.634729829327814,4.86066983296321,0.0,0.005,0.45,0.315,0.115,0.025,0.02,0.005,0.1,0.045
3,4.247202416946148,4.840338596930871,0.0,0.01,0.475,0.3,0.095,0.025,0.03,0.01,0.105,0.06
4,3.965980424963195,4.793522981496958,0.0,0.01,0.525,0.315,0.115,0.035,0.04,0.015,0.125,0.07
5,3.7954830712285537,4.710432639488807,0.0,0.01,0.595,0.345,0.165,0.05,0.035,0.01,0.17,0.07
6,3.6838513715513823,4.593115146343525,0.0,0.015,0.675,0.37,0.195,0.065,0.06,0.015,0.2,0.125
7,3.576740733508406,4.454188566941482,0.0,0.015,0.67,0.47,0.28,0.09,0.085,0.04,0.275,0.165
8,3.484483262588238,4.322263937730056,0.0,0.025,0.745,0.53,0.325,0.14,0.115,0.05,0.36,0.245
9,3.390429572812442,4.187038678389329,0.0,0.055,0.805,0.62,0.385,0.195,0.17,0.105,0.415,0.31
10,3.3070156861995827,4.065211754578811,0.0,0.085,0.82,0.655,0.415,0.235,0.205,0.135,0.475,0.37
11,3.218380036025212,3.970815035013052,0.0,0.1,0.79,0.715,0.52,0.26,0.205,0.145,0.57,0.385
12,3.133366286754608,3.8932821934039774,0.0,0.125,0.885,0.75,0.535,0.275,0.255,0.175,0.615,0.43
13,3.049714016503301,3.815487604874831,0.0,0.12,0.895,0.72,0.59,0.33,0.28,0.175,0.645,0.48
14,2.9574405160443535,3.7605547171372633,0.0,0.13,0.89,0.775,0.595,0.385,0.31,0.19,0.69,0.495
15,2.867057946221582,3.709924496137179,0.0,0.165,0.9,0.79,0.625,0.395,0.32,0.22,0.68,0.585
16,2.789947881780822,3.6693520545959473,0.0,0.16,0.925,0.8,0.66,0.425,0.3,0.235,0.73,0.56
17,2.6994579290521554,3.6334475920750546,0.0,0.165,0.925,0.825,0.63,0.46,0.36,0.255,0.725,0.575
18,2.61305950016811,3.5991635505969706,0.0,0.18,0.89,0.79,0.655,0.475,0.345,0.265,0.745,0.59
19,2.532113732962773,3.5697782039642334,0.0,0.195,0.935,0.85,0.69,0.48,0.395,0.275,0.755,0.635
20,2.4406797002101768,3.54485115638146,0.0,0.205,0.925,0.815,0.64,0.475,0.37,0.285,0.75,0.61
21,2.357417891765463,3.520663719910842,0.0,0.22,0.92,0.865,0.695,0.485,0.4,0.265,0.74,0.63
22,2.2754642182383042,3.499612184671255,0.0,0.23,0.94,0.85,0.685,0.485,0.405,0.3,0.77,0.635
23,2.192012278170421,3.4809273939866285,0.0,0.23,0.925,0.845,0.695,0.48,0.45,0.3,0.775,0.65
24,2.1089499705824357,3.463605422240037,0.0,0.23,0.93,0.825,0.67,0.49,0.395,0.33,0.77,0.615
25,2.0099908904782655,3.4508721828460693,0.0,0.235,0.92,0.82,0.67,0.5,0.395,0.305,0.79,0.65
26,1.9287565463575824,3.43694701561561,0.0,0.235,0.93,0.865,0.69,0.505,0.415,0.305,0.775,0.65
27,1.8406206687976574,3.4275931945213904,0.0,0.235,0.935,0.84,0.735,0.495,0.405,0.305,0.785,0.64
28,1.7635036624711136,3.4198684875781717,0.0,0.24,0.93,0.82,0.72,0.51,0.445,0.32,0.785,0.665
29,1.6771447247472302,3.4099181248591495,0.0,0.24,0.96,0.855,0.72,0.5,0.445,0.315,0.785,0.64
30,1.596822753034789,3.407424431580764,0.0,0.245,0.91,0.855,0.72,0.525,0.43,0.335,0.775,0.655
31,1.51979346933036,3.408709929539607,0.0,0.24,0.965,0.815,0.71,0.525,0.42,0.305,0.77,0.67
32,1.441327474240599,3.4000661923335147,0.0,0.25,0.935,0.85,0.695,0.53,0.44,0.29,0.79,0.655
33,1.353132348636101,3.3998889189500074,0.0,0.25,0.955,0.845,0.735,0.535,0.465,0.36,0.795,0.675
34,1.283468431439893,3.40151440180265,0.0,0.25,0.945,0.84,0.75,0.53,0.475,0.33,0.82,0.655
35,1.2117061820523491,3.4072973361382117,0.0,0.25,0.93,0.86,0.75,0.52,0.42,0.355,0.8,0.68
36,1.1462890701047306,3.4148426972902737,0.0,0.255,0.945,0.86,0.685,0.53,0.445,0.355,0.82,0.675
37,1.0753030545752624,3.4153394332298865,0.0,0.255,0.95,0.82,0.725,0.525,0.475,0.35,0.83,0.685
38,1.0146714895963669,3.4315602962787333,0.0,0.255,0.94,0.865,0.705,0.53,0.48,0.36,0.825,0.665
39,0.9516373317817162,3.4399216725276065,0.0,0.25,0.93,0.85,0.745,0.545,0.44,0.31,0.79,0.68
40,0.8983760804965578,3.4438015864445615,0.0,0.245,0.95,0.895,0.69,0.54,0.47,0.35,0.81,0.68
