epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.342016441872198,4.309966556027404,0.0,0.025,0.72,0.5,0.29,0.105,0.08,0.055,0.29,0.155
2,3.813277808247743,3.8068920282217174,0.0,0.06,0.84,0.605,0.4,0.245,0.185,0.1,0.48,0.35
3,3.5808277116450937,3.5780072762415958,0.0,0.08,0.845,0.615,0.42,0.255,0.16,0.12,0.475,0.385
4,3.39384403921678,3.3847159931802344,0.0,0.085,0.87,0.63,0.435,0.265,0.2,0.12,0.525,0.37
5,3.233412645287085,3.2331663787874403,0.0,0.075,0.845,0.675,0.435,0.27,0.195,0.11,0.535,0.37
6,3.0965208989028494,3.13598647280636,0.0,0.09,0.865,0.74,0.435,0.28,0.245,0.155,0.525,0.41
7,2.9763836737572578,3.045855137018057,0.0,0.095,0.91,0.715,0.465,0.27,0.22,0.165,0.515,0.375
8,2.873620499844305,2.9794529085485344,0.0,0.105,0.865,0.69,0.525,0.285,0.235,0.165,0.535,0.395
9,2.7843486423930064,2.945745654595204,0.0,0.12,0.85,0.69,0.495,0.285,0.225,0.16,0.53,0.39
10,2.7087601434660233,2.908245337315095,0.0,0.1,0.835,0.66,0.44,0.265,0.205,0.15,0.52,0.39
11,2.6391051601953306,2.8691562444735794,0.0,0.1,0.85,0.705,0.475,0.255,0.215,0.16,0.505,0.37
12,2.5798935753437573,2.834905833260626,0.0,0.09,0.84,0.695,0.475,0.25,0.205,0.16,0.505,0.375
13,2.517475232339498,2.8717442659231334,0.0,0.09,0.87,0.675,0.505,0.28,0.2,0.15,0.525,0.39
14,2.4604520610823912,2.8363458916672273,0.0,0.09,0.86,0.69,0.5,0.285,0.205,0.155,0.515,0.385
15,2.4141508272455483,2.8378831464001255,0.0,0.08,0.86,0.71,0.46,0.285,0.215,0.145,0.51,0.415
16,2.3680808197699816,2.8204102363341894,0.0,0.09,0.83,0.655,0.43,0.27,0.225,0.155,0.5,0.385
17,2.3225560143846398,2.8104458568442583,0.0,0.08,0.875,0.635,0.44,0.25,0.215,0.115,0.52,0.34
18,2.281293835398344,2.8301440426427074,0.0,0.11,0.825,0.71,0.5,0.26,0.22,0.14,0.505,0.405
19,2.240990620270286,2.829446477767749,0.0,0.115,0.86,0.69,0.47,0.26,0.21,0.145,0.56,0.38
20,2.2073098981813537,2.858306045206184,0.0,0.085,0.865,0.71,0.5,0.255,0.21,0.105,0.525,0.365
21,2.172564476557489,2.820966497445718,0.0,0.105,0.85,0.705,0.52,0.245,0.205,0.15,0.525,0.37
22,2.137574245095481,2.864536944617573,0.0,0.115,0.865,0.695,0.47,0.265,0.235,0.165,0.54,0.39
23,2.108248088259542,2.8426764469880323,0.0,0.09,0.805,0.715,0.49,0.26,0.23,0.165,0.56,0.385
24,2.079511831299069,2.8473326253075886,0.0,0.105,0.835,0.665,0.45,0.25,0.215,0.14,0.52,0.405
25,2.0490538980491304,2.8551491397058864,0.0,0.115,0.83,0.685,0.535,0.27,0.24,0.155,0.55,0.39
26,2.0226383996739212,2.877927074065575,0.0,0.09,0.845,0.675,0.485,0.27,0.235,0.135,0.55,0.42
27,2.0002604530372765,2.876170361143911,0.0,0.1,0.81,0.66,0.47,0.27,0.225,0.16,0.52,0.41
