epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.177184328950685,4.1747458806404705,0.0,0.005,0.485,0.225,0.105,0.02,0.025,0.01,0.085,0.05
2,3.9977069127148597,4.165041419175955,0.0,0.01,0.54,0.225,0.115,0.02,0.025,0.015,0.095,0.05
3,3.5350237201000083,4.11952608365279,0.0,0.02,0.665,0.435,0.22,0.09,0.065,0.03,0.23,0.145
4,3.2096616964915703,3.908076900702256,0.0,0.04,0.72,0.58,0.345,0.15,0.11,0.09,0.37,0.235
5,2.9175649737489633,3.63257620884822,0.0,0.04,0.76,0.59,0.43,0.18,0.15,0.06,0.445,0.305
6,2.6250592151592516,3.4059689961946926,0.0,0.03,0.785,0.625,0.46,0.185,0.15,0.075,0.495,0.335
7,2.337406024850648,3.23737763441526,0.0,0.045,0.865,0.675,0.43,0.225,0.155,0.105,0.53,0.36
8,2.045669532541571,3.1116664042839637,0.0,0.055,0.815,0.67,0.475,0.235,0.185,0.115,0.555,0.395
9,1.7571959063924592,3.021921992301941,0.0,0.06,0.875,0.685,0.47,0.26,0.19,0.125,0.575,0.39
10,1.4985525047984616,2.9578383519099307,0.0,0.07,0.86,0.705,0.515,0.3,0.23,0.1,0.57,0.43
11,1.2573461440102807,2.91489354463724,0.0,0.075,0.875,0.745,0.5,0.305,0.225,0.125,0.57,0.39
12,1.0660175586055065,2.892269877287058,0.0,0.085,0.89,0.735,0.535,0.325,0.235,0.145,0.585,0.425
13,0.8975894561615484,2.8834384863193216,0.0,0.095,0.87,0.69,0.595,0.325,0.25,0.165,0.59,0.43
14,0.7651289048893698,2.884059942685641,0.0,0.09,0.91,0.745,0.535,0.32,0.24,0.17,0.595,0.465
15,0.6537581533193588,2.8943416338700514,0.0,0.105,0.865,0.74,0.56,0.33,0.24,0.17,0.645,0.49
16,0.559713307125815,2.9097689665280857,0.0,0.115,0.88,0.785,0.52,0.325,0.3,0.18,0.615,0.48
17,0.4889581987056239,2.9287706430141744,0.0,0.14,0.89,0.75,0.585,0.36,0.245,0.23,0.625,0.495
18,0.43363235235728065,2.953054749048673,0.0,0.145,0.845,0.69,0.575,0.345,0.28,0.215,0.645,0.5
19,0.383510808492529,2.977091880945059,0.0,0.14,0.89,0.73,0.58,0.345,0.32,0.205,0.66,0.5
20,0.3448619598458553,3.0000625298573422,0.0,0.14,0.87,0.735,0.555,0.35,0.31,0.2,0.645,0.5
21,0.3207021618968454,3.029818589870746,0.0,0.145,0.91,0.785,0.59,0.365,0.285,0.215,0.655,0.495
22,0.28493142654669695,3.0560809007057776,0.0,0.14,0.87,0.755,0.57,0.375,0.285,0.23,0.605,0.495
23,0.26115349063585547,3.0770432398869443,0.0,0.125,0.855,0.76,0.525,0.365,0.335,0.18,0.645,0.5
