encoder,subject,within,cross,cc_retention,norm_drop,rank_corr
ATMS,sub-01,0.10625,0.02422222222222222,0.14776334776334774,0.8522366522366522,0.10299104362340926
ATMS,sub-02,0.09875,0.02775,0.2,0.8,0.09571517748846604
ATMS,sub-03,0.11875,0.024416666666666666,0.13256704980842912,0.8674329501915709,0.12532358641879304
ATMS,sub-04,0.135,0.02763888888888889,0.14111111111111113,0.8588888888888889,0.039841072548306086
ATMS,sub-05,0.08125,0.023916666666666666,0.19532163742690056,0.8046783625730993,0.11810838195354817
ATMS,sub-06,0.11875,0.025555555555555557,0.1430395913154534,0.8569604086845466,0.03277348037250929
ATMS,sub-07,0.15125,0.02175,0.0831858407079646,0.9168141592920355,0.045632687963780935
ATMS,sub-08,0.15625,0.02305555555555556,0.08926875593542262,0.9107312440645775,0.09429335158613
ATMS,sub-09,0.06375,0.023916666666666666,0.2589147286821705,0.7410852713178294,0.10553448015458662
ATMS,sub-10,0.13,0.027361111111111114,0.14467592592592593,0.8553240740740741,0.06850927041145281
LaBraM_ATMS,sub-01,0.0675,0.01938888888888889,0.16328502415458937,0.8367149758454108,0.12991437157994615
LaBraM_ATMS,sub-02,0.05125,0.026111111111111113,0.3905723905723906,0.6094276094276094,0.17922223051779743
LaBraM_ATMS,sub-03,0.07,0.021444444444444443,0.1907407407407407,0.8092592592592592,0.003269032934451186
LaBraM_ATMS,sub-04,0.0625,0.02161111111111111,0.22116402116402112,0.7788359788359789,-0.004657920909101755
LaBraM_ATMS,sub-05,0.03875,0.022444444444444444,0.43285024154589374,0.5671497584541063,0.14165118011754965
LaBraM_ATMS,sub-06,0.05625,0.020138888888888887,0.21921921921921916,0.7807807807807808,0.09886967398694631
LaBraM_ATMS,sub-07,0.07125,0.01933333333333333,0.15238095238095237,0.8476190476190477,0.15450448459617863
LaBraM_ATMS,sub-08,0.0875,0.02038888888888889,0.13405017921146956,0.8659498207885304,0.057985919006252135
LaBraM_ATMS,sub-09,0.0375,0.019333333333333334,0.33939393939393947,0.6606060606060606,0.04755767294817833
LaBraM_ATMS,sub-10,0.125,0.021277777777777777,0.09806763285024153,0.9019323671497583,0.03472672929653764
EEGNetv4_Encoder,sub-01,0.02375,0.015222222222222224,0.3797979797979799,0.6202020202020201,0.03813624206400815
EEGNetv4_Encoder,sub-02,0.1075,0.0245,0.14871794871794872,0.8512820512820511,0.06765993827200276
EEGNetv4_Encoder,sub-03,0.11375,0.02225,0.11807228915662649,0.8819277108433734,0.05732933306573854
EEGNetv4_Encoder,sub-04,0.1425,0.02691666666666667,0.12767295597484282,0.8723270440251573,0.16328815053503212
EEGNetv4_Encoder,sub-05,0.07625,0.02336111111111111,0.20167714884696014,0.7983228511530398,0.08528002592475929
EEGNetv4_Encoder,sub-06,0.14625,0.02361111111111111,0.0998980632008155,0.9001019367991846,0.05573685787135427
EEGNetv4_Encoder,sub-07,0.15625,0.020777777777777773,0.07369420702754033,0.9263057929724596,0.11554759843844963
EEGNetv4_Encoder,sub-08,0.16125,0.021638888888888888,0.07695133149678604,0.9230486685032141,0.00919111000810641
EEGNetv4_Encoder,sub-09,0.0625,0.0215,0.21904761904761902,0.7809523809523811,0.08417208494432385
EEGNetv4_Encoder,sub-10,0.17125,0.026111111111111113,0.09991386735572781,0.9000861326442722,0.029782431293255432
EEGConformer_Encoder,sub-01,0.02875,0.016944444444444446,0.3703703703703704,0.6296296296296295,0.2263680184550607
EEGConformer_Encoder,sub-02,0.12125,0.03791666666666667,0.250936329588015,0.749063670411985,0.3748748014725353
EEGConformer_Encoder,sub-03,0.165,0.028638888888888887,0.12025089605734765,0.8797491039426525,0.20538442119703146
EEGConformer_Encoder,sub-04,0.1625,0.030083333333333333,0.13169398907103827,0.8683060109289619,0.14510775484255048
EEGConformer_Encoder,sub-05,0.0775,0.028666666666666667,0.2765432098765432,0.7234567901234568,0.1642680577640426
EEGConformer_Encoder,sub-06,0.175,0.02811111111111111,0.10976430976430979,0.8902356902356903,0.22595790239058614
EEGConformer_Encoder,sub-07,0.21125,0.024777777777777777,0.07342995169082125,0.9265700483091788,0.14383791754931272
EEGConformer_Encoder,sub-08,0.2175,0.025222222222222222,0.07336010709504685,0.9266398929049532,0.1378004183835236
EEGConformer_Encoder,sub-09,0.1375,0.028277777777777777,0.14335511982570803,0.856644880174292,0.2005084928095043
EEGConformer_Encoder,sub-10,0.225,0.02819444444444445,0.08462532299741606,0.915374677002584,0.00607632239673033
CBraMod_Encoder,sub-01,0.12375,0.020555555555555556,0.0927960927960928,0.9072039072039072,0.09426717823591751
CBraMod_Encoder,sub-02,0.11625,0.025833333333333333,0.14901960784313723,0.8509803921568627,0.20133167443779065
CBraMod_Encoder,sub-03,0.13125,0.02275,0.10515463917525772,0.8948453608247423,0.167561222567869
CBraMod_Encoder,sub-04,0.14625,0.023916666666666666,0.10214067278287463,0.8978593272171255,0.10307374265237483
CBraMod_Encoder,sub-05,0.08125,0.021694444444444443,0.16413255360623777,0.8358674463937621,0.15668636859133145
CBraMod_Encoder,sub-06,0.165,0.021805555555555554,0.07616487455197131,0.9238351254480288,0.06508697065930812
CBraMod_Encoder,sub-07,0.15875,0.018916666666666665,0.0599439775910364,0.9400560224089637,0.07806577391279076
CBraMod_Encoder,sub-08,0.16125,0.023777777777777776,0.09109274563820018,0.9089072543617999,0.10232302013291054
CBraMod_Encoder,sub-09,0.065,0.020722222222222222,0.19494949494949493,0.805050505050505,0.03749815909576493
CBraMod_Encoder,sub-10,0.16625,0.025805555555555557,0.10115555555555558,0.8988444444444446,0.02328426277778282
