encoder,held_subject,within,cross,cc_retention,norm_drop,rank_corr
ATMS,sub-01,0.12125,0.0275,0.15730337078651688,0.8426966292134831,0.19569753051129354
ATMS,sub-02,0.0875,0.0275,0.22580645161290325,0.7741935483870968,0.11043271836162591
