epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.874482689232662,4.872297286987305,0.0,0.005,0.535,0.255,0.12,0.025,0.025,0.01,0.105,0.04
2,4.698870371127951,4.861466481135442,0.0,0.005,0.46,0.23,0.105,0.025,0.025,0.005,0.11,0.04
3,4.1012348327143435,4.842910950000469,0.0,0.005,0.525,0.24,0.12,0.03,0.025,0.01,0.11,0.05
4,3.8086533608107733,4.7839256800138035,0.0,0.005,0.585,0.255,0.135,0.04,0.025,0.01,0.165,0.07
5,3.6322784464934776,4.672874560722938,0.0,0.005,0.685,0.41,0.195,0.05,0.03,0.02,0.22,0.095
6,3.4773583823236924,4.50190309377817,0.0,0.025,0.755,0.525,0.275,0.09,0.075,0.04,0.32,0.165
7,3.3609715700149536,4.306433971111591,0.0,0.045,0.825,0.625,0.365,0.17,0.135,0.07,0.415,0.26
8,3.251885740921415,4.112811712118296,0.0,0.08,0.85,0.695,0.485,0.255,0.185,0.125,0.475,0.305
9,3.147332888225029,3.944374047792875,0.0,0.11,0.885,0.735,0.52,0.305,0.245,0.165,0.595,0.42
10,3.048320034454609,3.815564540716318,0.0,0.105,0.895,0.72,0.585,0.355,0.275,0.155,0.66,0.485
11,2.9446027874946594,3.7096063907329855,0.0,0.135,0.945,0.77,0.545,0.39,0.335,0.21,0.695,0.53
12,2.856066374943174,3.6215439576369066,0.0,0.15,0.935,0.805,0.66,0.405,0.37,0.22,0.715,0.55
13,2.763309969984252,3.5490428851200986,0.0,0.185,0.935,0.815,0.66,0.43,0.36,0.235,0.765,0.565
14,2.6713896907609085,3.483977409509512,0.0,0.205,0.95,0.8,0.635,0.445,0.36,0.28,0.76,0.615
15,2.583567206201882,3.4278134932884803,0.0,0.22,0.9,0.86,0.69,0.46,0.37,0.295,0.775,0.59
16,2.4919432052250565,3.3761468667250414,0.0,0.24,0.965,0.87,0.725,0.475,0.405,0.3,0.795,0.675
17,2.4068321297908652,3.3288641709547777,0.0,0.24,0.96,0.835,0.715,0.48,0.375,0.3,0.825,0.645
18,2.321489564303694,3.28430228966933,0.0,0.255,0.965,0.9,0.705,0.485,0.42,0.32,0.82,0.69
19,2.234005432704399,3.243486734536978,0.0,0.255,0.975,0.87,0.725,0.5,0.43,0.34,0.82,0.68
20,2.1511070173362206,3.2065322949336124,0.0,0.26,0.955,0.89,0.72,0.525,0.435,0.325,0.85,0.695
21,2.069194176073732,3.1718165140885572,0.0,0.26,0.98,0.9,0.735,0.545,0.455,0.355,0.865,0.715
22,1.9869608837982704,3.139619460472694,0.0,0.27,0.955,0.85,0.75,0.555,0.47,0.345,0.855,0.715
23,1.9061036952610673,3.1108738642472487,0.0,0.275,0.935,0.9,0.75,0.595,0.505,0.35,0.85,0.735
24,1.829213130063024,3.082150239210862,0.0,0.27,0.945,0.895,0.79,0.61,0.535,0.365,0.865,0.76
25,1.7505573763929565,3.0583390455979567,0.0,0.27,0.975,0.93,0.79,0.605,0.495,0.37,0.855,0.76
26,1.6717720555848088,3.03575585438655,0.0,0.275,0.945,0.91,0.755,0.625,0.49,0.38,0.875,0.755
27,1.592137229853663,3.0148880114922156,0.0,0.285,0.96,0.885,0.81,0.625,0.495,0.36,0.855,0.76
28,1.5203016318123916,2.9936283918527455,0.0,0.29,0.965,0.89,0.785,0.635,0.505,0.37,0.885,0.785
29,1.4421715047852746,2.9732458224663367,0.0,0.3,0.965,0.91,0.8,0.655,0.5,0.42,0.885,0.775
30,1.3716511623612766,2.95537229684683,0.0,0.305,0.98,0.91,0.79,0.66,0.53,0.4,0.875,0.77
31,1.3013462794238124,2.944992267168485,0.0,0.305,0.98,0.9,0.765,0.675,0.55,0.375,0.885,0.765
32,1.2340387712264884,2.9318998960348277,0.0,0.305,0.955,0.94,0.8,0.695,0.5,0.43,0.88,0.8
33,1.169099779992268,2.924589982399574,0.0,0.295,0.96,0.945,0.815,0.71,0.51,0.42,0.885,0.8
34,1.10584353784035,2.9136159053215613,0.0,0.29,0.945,0.925,0.82,0.71,0.51,0.38,0.88,0.795
35,1.0460583952994182,2.9000624143160305,0.0,0.295,0.985,0.925,0.775,0.71,0.56,0.415,0.88,0.8
36,0.987182524697534,2.8976136904496412,0.0,0.31,0.965,0.88,0.79,0.72,0.57,0.415,0.86,0.805
37,0.9271714327664211,2.8900185181544376,0.0,0.315,0.985,0.9,0.855,0.72,0.55,0.435,0.89,0.81
38,0.8744043820890887,2.889331946006188,0.0,0.32,0.975,0.935,0.815,0.725,0.58,0.48,0.89,0.8
39,0.8275421683130593,2.8865409080798807,0.0,0.32,0.98,0.915,0.825,0.715,0.54,0.425,0.88,0.8
40,0.7740890897553543,2.8835544769580546,0.0,0.325,0.96,0.905,0.825,0.71,0.57,0.445,0.875,0.82
