epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.880371558255162,4.8719862057612495,0.0,0.005,0.49,0.235,0.105,0.025,0.025,0.005,0.09,0.06
2,4.819190058214911,4.863754015702468,0.0,0.005,0.54,0.305,0.1,0.025,0.02,0.005,0.105,0.045
3,4.1816387710900145,4.850046341235821,0.0,0.005,0.55,0.255,0.165,0.025,0.02,0.015,0.11,0.07
4,3.815645832439949,4.809948114248423,0.0,0.005,0.6,0.34,0.105,0.06,0.05,0.015,0.13,0.07
5,3.641357117685778,4.717795555408184,0.0,0.01,0.615,0.36,0.15,0.07,0.05,0.04,0.16,0.095
6,3.507850478435385,4.550129450284517,0.0,0.03,0.73,0.415,0.21,0.08,0.055,0.03,0.235,0.145
7,3.392153569336595,4.355219694284292,0.0,0.04,0.755,0.545,0.32,0.125,0.1,0.06,0.33,0.19
8,3.2870127825901427,4.1395996167109566,0.0,0.06,0.85,0.64,0.405,0.225,0.2,0.105,0.48,0.325
9,3.181808451126362,3.960157559468196,0.0,0.07,0.88,0.74,0.575,0.32,0.245,0.145,0.645,0.465
10,3.0942735548677116,3.817316623834463,0.0,0.12,0.91,0.795,0.6,0.38,0.315,0.22,0.68,0.565
11,3.005889409574969,3.710231927724985,0.0,0.135,0.94,0.84,0.695,0.455,0.33,0.215,0.78,0.595
12,2.914009622458754,3.6258311638465295,0.0,0.175,0.93,0.84,0.68,0.48,0.38,0.28,0.795,0.645
13,2.823709557796347,3.5533473124870887,0.0,0.17,0.94,0.89,0.725,0.54,0.36,0.28,0.81,0.705
14,2.7387122347437103,3.490417773907001,0.0,0.17,0.935,0.86,0.74,0.54,0.41,0.28,0.815,0.695
15,2.6509483497718285,3.4351798937870908,0.0,0.19,0.945,0.85,0.715,0.555,0.4,0.305,0.82,0.725
16,2.562490864046689,3.386895674925584,0.0,0.185,0.955,0.88,0.75,0.555,0.445,0.325,0.84,0.72
17,2.474297550217859,3.3443391506488505,0.0,0.22,0.965,0.875,0.76,0.57,0.47,0.34,0.82,0.74
18,2.3886745983156663,3.3059138701512265,0.0,0.23,0.95,0.89,0.785,0.58,0.465,0.345,0.86,0.735
19,2.311354875564575,3.2699988255133996,0.0,0.23,0.955,0.87,0.77,0.6,0.48,0.365,0.845,0.75
20,2.226968516563547,3.235265089915349,0.0,0.235,0.955,0.89,0.72,0.595,0.475,0.35,0.865,0.755
21,2.1393263802446167,3.1998229576991153,0.0,0.23,0.975,0.91,0.8,0.605,0.47,0.375,0.85,0.755
22,2.0549310918512016,3.1709300738114576,0.0,0.23,0.95,0.93,0.76,0.605,0.5,0.345,0.86,0.76
23,1.9687396503728012,3.1438183050889235,0.0,0.245,0.955,0.945,0.775,0.615,0.5,0.36,0.875,0.765
24,1.8897051903708229,3.117088354550875,0.0,0.265,0.965,0.885,0.76,0.63,0.52,0.375,0.875,0.76
25,1.8074366594183033,3.0937909346360426,0.0,0.27,0.955,0.895,0.79,0.635,0.53,0.38,0.865,0.755
26,1.7204740448244686,3.0723393513606143,0.0,0.26,0.96,0.915,0.82,0.64,0.49,0.4,0.86,0.76
27,1.640742167316634,3.0514073371887207,0.0,0.28,0.955,0.915,0.83,0.63,0.515,0.38,0.88,0.76
28,1.5663177114108513,3.034514702283419,0.0,0.27,0.975,0.945,0.805,0.635,0.525,0.39,0.895,0.76
29,1.4857106537654483,3.0158777970534105,0.0,0.29,0.95,0.93,0.815,0.665,0.535,0.395,0.875,0.775
30,1.4067315469528068,2.99674024948707,0.0,0.305,0.95,0.91,0.785,0.655,0.57,0.425,0.9,0.78
31,1.3349004655048764,2.986965014384343,0.0,0.3,0.97,0.915,0.8,0.675,0.55,0.39,0.88,0.795
32,1.2657892231283516,2.975891846876878,0.0,0.31,0.965,0.935,0.81,0.665,0.555,0.41,0.88,0.77
33,1.1991500165955773,2.959326615700355,0.0,0.315,0.97,0.915,0.8,0.685,0.54,0.44,0.875,0.775
34,1.132920660335442,2.9514846251561093,0.0,0.32,0.96,0.92,0.835,0.685,0.525,0.445,0.89,0.805
35,1.0650542255105644,2.9369704723358154,0.0,0.32,0.97,0.91,0.825,0.695,0.575,0.445,0.88,0.785
36,1.000260545775808,2.9300665855407715,0.0,0.295,0.95,0.915,0.805,0.68,0.585,0.39,0.88,0.805
37,0.9438389642485256,2.9233444837423472,0.0,0.325,0.955,0.9,0.835,0.695,0.535,0.455,0.865,0.785
38,0.8897625634382511,2.9254589814406176,0.0,0.32,0.96,0.915,0.775,0.67,0.535,0.42,0.9,0.785
39,0.836218372501176,2.922066431779128,0.0,0.33,0.97,0.915,0.775,0.66,0.575,0.435,0.905,0.795
40,0.7892070088920922,2.915309630907499,0.0,0.33,0.965,0.935,0.81,0.675,0.565,0.445,0.89,0.815
