epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.152674871272054,4.174231492556059,0.0,0.005,0.495,0.225,0.085,0.025,0.015,0.02,0.08,0.045
2,3.7453455503644615,4.147574186325073,0.0,0.01,0.585,0.315,0.14,0.05,0.04,0.02,0.14,0.085
3,3.343262944755883,3.971412713711078,0.0,0.035,0.735,0.48,0.275,0.105,0.095,0.055,0.3,0.19
4,3.006217016228314,3.7116061724149265,0.0,0.035,0.785,0.525,0.41,0.14,0.11,0.07,0.39,0.23
5,2.720426268618682,3.4661817092161913,0.0,0.07,0.825,0.67,0.435,0.19,0.17,0.095,0.48,0.32
6,2.4827487663976076,3.2590509286293616,0.0,0.085,0.845,0.735,0.51,0.22,0.17,0.12,0.575,0.395
7,2.2528640453157753,3.093999193264888,0.0,0.085,0.88,0.75,0.57,0.3,0.215,0.16,0.65,0.46
8,1.9936097474961445,2.9701144695281982,0.0,0.11,0.91,0.83,0.61,0.345,0.235,0.155,0.68,0.51
9,1.7508102948295658,2.8851294150719275,0.0,0.125,0.915,0.76,0.63,0.385,0.335,0.19,0.705,0.56
10,1.5081364152760341,2.829084818179791,0.0,0.135,0.91,0.785,0.665,0.41,0.325,0.23,0.775,0.565
11,1.2923072823162736,2.796374348493723,0.0,0.145,0.915,0.83,0.65,0.42,0.32,0.235,0.745,0.615
12,1.0920273620506813,2.781438341507545,0.0,0.15,0.915,0.84,0.67,0.435,0.29,0.22,0.77,0.59
13,0.9246103111012228,2.7822979413546047,0.0,0.16,0.91,0.795,0.67,0.435,0.385,0.24,0.745,0.62
14,0.7834428186560499,2.79345872768989,0.0,0.15,0.915,0.805,0.7,0.465,0.34,0.25,0.77,0.6
15,0.6726513760613984,2.8127840849069448,0.0,0.155,0.895,0.83,0.655,0.455,0.39,0.26,0.76,0.59
16,0.5787377934260615,2.836598176222581,0.0,0.165,0.925,0.835,0.7,0.47,0.385,0.265,0.745,0.595
17,0.5007564262326422,2.866414180168739,0.0,0.185,0.92,0.81,0.66,0.46,0.345,0.255,0.735,0.59
18,0.4393167228534304,2.896029518200801,0.0,0.185,0.915,0.83,0.665,0.455,0.375,0.28,0.735,0.6
19,0.3942434927769776,2.9274987349143395,0.0,0.195,0.94,0.79,0.645,0.45,0.38,0.255,0.745,0.6
20,0.3506209770667142,2.959794833109929,0.0,0.19,0.92,0.795,0.63,0.46,0.365,0.245,0.75,0.605
21,0.3040030139402069,2.988896204875066,0.0,0.195,0.885,0.84,0.625,0.465,0.33,0.265,0.75,0.58
22,0.2799568587336047,3.015026248418368,0.0,0.19,0.915,0.785,0.675,0.47,0.345,0.24,0.73,0.59
