epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.176352507081525,4.172934678884653,0.0,0.005,0.515,0.28,0.115,0.02,0.02,0.015,0.11,0.04
2,3.9539090086673867,4.162977814674377,0.0,0.005,0.53,0.235,0.11,0.025,0.03,0.01,0.11,0.055
3,3.5501387530359727,4.101112888409541,0.0,0.03,0.665,0.415,0.245,0.065,0.06,0.035,0.225,0.105
4,3.2914588944665315,3.8939965871664195,0.0,0.035,0.775,0.57,0.285,0.155,0.095,0.055,0.32,0.21
5,3.074876402986461,3.6623245844474206,0.0,0.05,0.8,0.66,0.37,0.165,0.13,0.085,0.355,0.245
6,2.86041819740986,3.486809877248911,0.0,0.05,0.835,0.615,0.395,0.175,0.14,0.075,0.425,0.23
7,2.61178359697605,3.358289911196782,0.0,0.06,0.8,0.625,0.405,0.19,0.14,0.135,0.47,0.295
8,2.3370241070615836,3.2692066522744985,0.0,0.06,0.885,0.63,0.44,0.23,0.18,0.085,0.465,0.325
9,2.0507050156593323,3.2117563761197605,0.0,0.075,0.845,0.64,0.45,0.24,0.215,0.11,0.49,0.335
10,1.7749929176322345,3.182495749913729,0.0,0.08,0.85,0.675,0.44,0.25,0.2,0.115,0.53,0.36
11,1.5204550515988777,3.178099357164823,0.0,0.09,0.895,0.65,0.43,0.27,0.245,0.125,0.505,0.365
12,1.2869531779453671,3.194927353125352,0.0,0.09,0.855,0.705,0.455,0.275,0.215,0.145,0.525,0.375
13,1.085355406177455,3.2303238832033596,0.0,0.1,0.86,0.665,0.435,0.28,0.2,0.145,0.535,0.355
14,0.9117721391135248,3.2764488825431237,0.0,0.105,0.875,0.71,0.47,0.285,0.24,0.175,0.515,0.37
15,0.7697280000509887,3.332024198312026,0.0,0.095,0.84,0.695,0.44,0.28,0.21,0.165,0.545,0.37
16,0.6683554045599083,3.3933949837317834,0.0,0.1,0.825,0.68,0.44,0.275,0.205,0.155,0.495,0.35
17,0.5772403804906483,3.452925104361314,0.0,0.095,0.88,0.625,0.43,0.29,0.215,0.16,0.51,0.355
18,0.5018305958345018,3.5144552175815287,0.0,0.11,0.815,0.66,0.425,0.275,0.19,0.165,0.505,0.33
19,0.444452616803605,3.570886116761428,0.0,0.085,0.845,0.67,0.445,0.27,0.215,0.16,0.485,0.36
20,0.39240509284467534,3.623742837172288,0.0,0.075,0.845,0.695,0.44,0.265,0.215,0.14,0.465,0.36
21,0.35346459160590993,3.6749387704409084,0.0,0.075,0.825,0.66,0.425,0.26,0.175,0.11,0.515,0.35
