epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,8.379236873503654,7.9360117728893576,0.0,0.005,0.505,0.245,0.105,0.025,0.01,0.02,0.085,0.055
2,5.167910004687566,5.649844655623803,0.0,0.0,0.48,0.19,0.09,0.025,0.01,0.005,0.09,0.05
3,5.024588819729384,5.066346984643203,0.0,0.005,0.435,0.245,0.11,0.025,0.01,0.01,0.1,0.04
4,4.9434891967363255,4.910432898081266,0.0,0.005,0.46,0.255,0.115,0.035,0.03,0.015,0.115,0.04
5,4.904407292027627,4.855693679589492,0.0,0.01,0.51,0.26,0.115,0.02,0.02,0.01,0.105,0.055
6,4.573986407249205,4.8192792397279005,0.0,0.005,0.555,0.33,0.14,0.06,0.045,0.02,0.15,0.095
7,4.093345290871077,4.692198679997371,0.0,0.05,0.805,0.585,0.385,0.195,0.14,0.08,0.41,0.285
8,3.797226546913065,4.468053771899297,0.0,0.095,0.855,0.735,0.465,0.28,0.185,0.125,0.56,0.375
9,3.4962657892575826,4.2586645896618185,0.0,0.11,0.865,0.685,0.52,0.305,0.26,0.155,0.56,0.425
10,3.0890140861593265,4.148703529284551,0.0,0.12,0.865,0.705,0.51,0.305,0.22,0.15,0.57,0.445
11,2.545766397701797,4.172973371469057,0.0,0.09,0.85,0.71,0.51,0.29,0.195,0.14,0.545,0.45
12,1.985274846835803,4.342817751260904,0.0,0.07,0.88,0.72,0.52,0.255,0.235,0.13,0.565,0.42
13,1.460473350683848,4.6522150589869575,0.0,0.065,0.87,0.675,0.46,0.25,0.165,0.115,0.53,0.4
14,1.08976465066274,5.09176859488854,0.0,0.065,0.87,0.655,0.475,0.24,0.235,0.13,0.53,0.36
15,0.819766761731076,5.630247345337501,0.0,0.055,0.815,0.67,0.42,0.22,0.2,0.11,0.52,0.365
16,0.646604323579419,6.195425831354582,0.0,0.06,0.845,0.67,0.455,0.22,0.205,0.08,0.52,0.345
17,0.5377606377806715,6.712980939791753,0.0,0.065,0.825,0.66,0.48,0.215,0.175,0.115,0.53,0.325
18,0.46579272759858,7.153032614634587,0.0,0.055,0.865,0.655,0.475,0.22,0.15,0.115,0.555,0.365
19,0.414026976144442,7.496109366416931,0.0,0.065,0.86,0.665,0.445,0.23,0.165,0.095,0.535,0.345
20,0.37723920813170814,7.739775345875667,0.0,0.06,0.825,0.665,0.475,0.23,0.21,0.115,0.525,0.375
