epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,3.574801592751661,3.32654704249468,0.0,0.055,0.805,0.595,0.37,0.16,0.12,0.08,0.435,0.3
2,2.859549526728572,2.7526442861352356,0.0,0.095,0.84,0.675,0.47,0.27,0.205,0.125,0.51,0.41
3,2.4811476714521064,2.43138154177195,0.0,0.125,0.825,0.705,0.47,0.32,0.22,0.175,0.56,0.41
4,2.174292513530219,2.2245971465827057,0.0,0.115,0.86,0.705,0.545,0.34,0.25,0.18,0.58,0.46
5,1.9079757687923615,2.098277183049738,0.0,0.125,0.855,0.74,0.565,0.355,0.305,0.175,0.585,0.46
6,1.664691456982922,2.029880252518879,0.0,0.12,0.89,0.69,0.555,0.385,0.27,0.195,0.575,0.485
7,1.4476685373337714,2.0141375796477683,0.0,0.115,0.855,0.705,0.545,0.365,0.265,0.215,0.58,0.485
8,1.249719730758576,2.0399952958070156,0.0,0.115,0.865,0.695,0.52,0.355,0.265,0.205,0.6,0.465
9,1.0798009161566413,2.0964151938074136,0.0,0.13,0.845,0.665,0.555,0.345,0.29,0.175,0.6,0.47
10,0.9384299568650373,2.1714341845123553,0.0,0.15,0.835,0.755,0.515,0.355,0.27,0.22,0.61,0.46
11,0.8166736055946897,2.2596262800847002,0.0,0.105,0.885,0.665,0.54,0.34,0.335,0.18,0.59,0.46
12,0.72228726279035,2.3421278358017426,0.0,0.12,0.87,0.7,0.51,0.345,0.255,0.18,0.615,0.46
13,0.6461313722723703,2.414305881880895,0.0,0.135,0.855,0.685,0.52,0.335,0.26,0.16,0.59,0.42
14,0.5824992956724454,2.482674354647362,0.0,0.125,0.835,0.725,0.525,0.33,0.26,0.195,0.585,0.435
15,0.5304272983399408,2.5265486373410204,0.0,0.15,0.83,0.73,0.505,0.35,0.285,0.215,0.585,0.45
16,0.4910293218981861,2.5413968798428646,0.0,0.14,0.835,0.68,0.495,0.365,0.33,0.19,0.585,0.465
17,0.4539108957420737,2.5594875152530587,0.0,0.13,0.89,0.725,0.525,0.355,0.265,0.205,0.585,0.48
