epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.87777003337597,4.871077977693998,0.0,0.005,0.48,0.26,0.11,0.025,0.02,0.01,0.1,0.045
2,4.714950462867474,4.864795978252705,0.0,0.005,0.435,0.325,0.11,0.02,0.025,0.005,0.11,0.045
3,4.159299429120688,4.848985011761005,0.0,0.01,0.5,0.275,0.11,0.025,0.02,0.015,0.125,0.045
4,3.8044008160459586,4.801776885986328,0.0,0.01,0.535,0.335,0.125,0.035,0.035,0.02,0.115,0.075
5,3.6121116321662377,4.699850889352652,0.0,0.025,0.62,0.35,0.17,0.06,0.05,0.03,0.18,0.085
6,3.4717701940700927,4.539059455578144,0.0,0.035,0.7,0.44,0.22,0.095,0.085,0.055,0.275,0.15
7,3.3574607803903778,4.351479823772724,0.0,0.035,0.73,0.525,0.325,0.135,0.115,0.075,0.37,0.24
8,3.2299654689328423,4.155306926140418,0.0,0.055,0.78,0.6,0.465,0.21,0.145,0.09,0.465,0.32
9,3.130257263265807,3.985843016551091,0.0,0.07,0.83,0.63,0.535,0.305,0.22,0.15,0.57,0.43
10,3.030729620621122,3.842995185118455,0.0,0.095,0.87,0.73,0.525,0.375,0.29,0.175,0.63,0.51
11,2.930883493916742,3.726894195263202,0.0,0.11,0.865,0.825,0.61,0.405,0.32,0.195,0.69,0.565
12,2.8401362793198945,3.634293427834144,0.0,0.155,0.94,0.8,0.665,0.455,0.35,0.225,0.715,0.605
13,2.751853825717137,3.553993665255033,0.0,0.18,0.945,0.82,0.685,0.485,0.375,0.285,0.775,0.64
14,2.6590792618948838,3.4905913793123684,0.0,0.195,0.93,0.855,0.705,0.525,0.44,0.33,0.775,0.625
15,2.5785875937034346,3.433609503966111,0.0,0.215,0.95,0.855,0.685,0.535,0.42,0.3,0.78,0.685
16,2.4896406038054106,3.3821555100954495,0.0,0.25,0.935,0.89,0.735,0.555,0.425,0.335,0.8,0.67
17,2.4039880900547423,3.334863405961257,0.0,0.27,0.965,0.905,0.755,0.57,0.485,0.35,0.79,0.68
18,2.3198210802571526,3.290897956261268,0.0,0.285,0.965,0.87,0.73,0.58,0.47,0.355,0.815,0.725
19,2.238376397511055,3.2548807584322414,0.0,0.295,0.98,0.91,0.76,0.595,0.505,0.375,0.855,0.75
20,2.157627625712033,3.219385403853196,0.0,0.295,0.97,0.87,0.78,0.61,0.54,0.38,0.855,0.73
21,2.0751736009943076,3.1871619591346154,0.0,0.29,0.945,0.91,0.75,0.63,0.485,0.36,0.83,0.775
22,1.9953328114131401,3.1580394414755015,0.0,0.285,0.955,0.905,0.795,0.65,0.505,0.385,0.845,0.775
23,1.9157772948001992,3.1324218053084154,0.0,0.285,0.975,0.92,0.8,0.655,0.525,0.4,0.86,0.765
24,1.8390957353443935,3.113766615207379,0.0,0.28,0.97,0.875,0.765,0.65,0.515,0.41,0.87,0.76
25,1.7592992690102807,3.086121155665471,0.0,0.295,0.965,0.91,0.805,0.665,0.525,0.395,0.88,0.765
26,1.6707566103030895,3.0696692283336935,0.0,0.285,0.97,0.95,0.81,0.66,0.505,0.385,0.885,0.79
27,1.6103452104946663,3.0466552330897403,0.0,0.31,0.96,0.91,0.82,0.675,0.53,0.405,0.87,0.785
28,1.526680588722229,3.0350711529071512,0.0,0.295,0.99,0.925,0.8,0.665,0.505,0.455,0.895,0.78
29,1.4600360177714249,3.0203661551842322,0.0,0.315,0.985,0.885,0.83,0.675,0.55,0.415,0.9,0.775
30,1.381372595655507,3.0112970425532413,0.0,0.3,0.96,0.93,0.82,0.685,0.545,0.46,0.93,0.805
31,1.3072238533661282,3.0057302438295803,0.0,0.305,0.985,0.92,0.81,0.68,0.565,0.44,0.91,0.82
32,1.2460918611493603,2.9919455418219933,0.0,0.3,0.965,0.925,0.76,0.69,0.555,0.415,0.9,0.785
33,1.17893114480479,2.9839323300581713,0.0,0.305,0.95,0.93,0.84,0.695,0.595,0.435,0.915,0.805
34,1.117132984872522,2.9767616161933312,0.0,0.31,0.97,0.91,0.87,0.7,0.615,0.45,0.9,0.825
35,1.0518013639696713,2.9674103260040283,0.0,0.29,0.955,0.95,0.825,0.72,0.545,0.445,0.91,0.815
36,0.9959131001398481,2.955945601830116,0.0,0.295,0.98,0.915,0.82,0.715,0.58,0.48,0.895,0.83
37,0.9306699566800019,2.953863345659696,0.0,0.295,0.975,0.915,0.835,0.715,0.56,0.415,0.92,0.815
38,0.8804308016752375,2.9448872162745547,0.0,0.29,0.97,0.91,0.81,0.725,0.53,0.43,0.895,0.83
39,0.8342569768428802,2.941548365813035,0.0,0.295,0.98,0.9,0.8,0.72,0.59,0.4,0.925,0.82
40,0.7793797336775681,2.946424044095553,0.0,0.305,0.96,0.915,0.82,0.725,0.6,0.41,0.905,0.825
