epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.874315775673965,4.868966396038349,0.0,0.005,0.525,0.245,0.13,0.025,0.025,0.005,0.12,0.045
2,4.468334185666051,4.857021698584924,0.0,0.005,0.47,0.26,0.095,0.025,0.03,0.005,0.125,0.055
3,3.8740827872835357,4.8188599072969875,0.0,0.01,0.525,0.27,0.14,0.035,0.02,0.01,0.13,0.065
4,3.652142882347107,4.727021840902475,0.0,0.01,0.625,0.35,0.135,0.05,0.035,0.02,0.14,0.075
5,3.5012128640865456,4.581444666935847,0.0,0.015,0.71,0.41,0.215,0.06,0.05,0.015,0.25,0.12
6,3.374280625376208,4.396004823537973,0.0,0.015,0.715,0.52,0.33,0.11,0.07,0.055,0.32,0.205
7,3.2661313270700387,4.218087489788349,0.0,0.025,0.775,0.53,0.32,0.155,0.105,0.06,0.395,0.255
8,3.1592042158389915,4.018172410818247,0.0,0.045,0.86,0.645,0.475,0.235,0.175,0.085,0.485,0.325
9,3.0596344655957717,3.8577635288238525,0.0,0.09,0.885,0.74,0.51,0.285,0.22,0.155,0.58,0.405
10,2.9740840854315924,3.743419023660513,0.0,0.115,0.92,0.755,0.54,0.32,0.33,0.175,0.645,0.48
11,2.8802170712372352,3.6377988778627834,0.0,0.13,0.92,0.77,0.6,0.385,0.295,0.205,0.715,0.53
12,2.7991059607472915,3.5575762345240665,0.0,0.165,0.9,0.815,0.69,0.435,0.365,0.22,0.72,0.585
13,2.7169347487646958,3.476698765387902,0.0,0.175,0.955,0.845,0.725,0.48,0.34,0.28,0.79,0.6
14,2.633552941782721,3.4124994094555197,0.0,0.185,0.94,0.845,0.74,0.485,0.36,0.28,0.81,0.63
15,2.548045707160029,3.349612602820763,0.0,0.2,0.915,0.87,0.735,0.505,0.36,0.305,0.8,0.68
16,2.4706830916733575,3.309822229238657,0.0,0.215,0.93,0.87,0.735,0.515,0.435,0.295,0.825,0.655
17,2.3903981693859757,3.265195754858164,0.0,0.225,0.945,0.85,0.745,0.53,0.4,0.29,0.825,0.65
18,2.307281494140625,3.2239432151500997,0.0,0.245,0.95,0.87,0.765,0.535,0.4,0.33,0.82,0.715
19,2.2220365918915848,3.1886921112353983,0.0,0.24,0.955,0.88,0.77,0.55,0.465,0.32,0.84,0.735
20,2.146087892096618,3.155212585742657,0.0,0.265,0.97,0.87,0.74,0.55,0.415,0.375,0.845,0.715
21,2.0675835897182595,3.125547720835759,0.0,0.28,0.96,0.93,0.775,0.56,0.49,0.355,0.85,0.765
22,1.9916488774891556,3.0967184763688307,0.0,0.29,0.955,0.9,0.745,0.565,0.495,0.38,0.845,0.72
23,1.9068035956086784,3.07240053323599,0.0,0.295,0.945,0.885,0.8,0.565,0.46,0.37,0.85,0.73
24,1.8296899682488934,3.046884298324585,0.0,0.295,0.935,0.905,0.77,0.575,0.485,0.37,0.88,0.72
25,1.7550672200219384,3.025257605772752,0.0,0.305,0.95,0.885,0.8,0.58,0.47,0.345,0.88,0.745
26,1.6733735388722912,3.004774992282574,0.0,0.3,0.96,0.86,0.745,0.575,0.5,0.38,0.885,0.77
27,1.6057362165944329,2.98516478905311,0.0,0.31,0.945,0.9,0.805,0.585,0.45,0.38,0.9,0.76
28,1.5169983968652527,2.9690742859473596,0.0,0.305,0.955,0.895,0.825,0.59,0.5,0.395,0.905,0.765
29,1.4532404007582829,2.9542109232682447,0.0,0.32,0.96,0.91,0.835,0.615,0.505,0.425,0.87,0.765
30,1.389286124500735,2.9377431869506836,0.0,0.325,0.95,0.915,0.79,0.615,0.58,0.42,0.905,0.775
31,1.3093783567691673,2.9273765087127686,0.0,0.32,0.955,0.905,0.77,0.615,0.56,0.435,0.895,0.775
32,1.244602947399534,2.9204024351560154,0.0,0.325,0.945,0.93,0.765,0.62,0.515,0.445,0.895,0.805
33,1.1754119601742974,2.908990603226882,0.0,0.325,0.97,0.89,0.795,0.63,0.515,0.42,0.925,0.8
34,1.116452765362016,2.904541639181284,0.0,0.33,0.96,0.905,0.79,0.63,0.535,0.42,0.91,0.805
35,1.0592117232495342,2.8923554053673377,0.0,0.325,0.96,0.925,0.845,0.635,0.515,0.425,0.885,0.8
36,0.9967359345534752,2.883328309425941,0.0,0.34,0.99,0.9,0.855,0.64,0.545,0.425,0.89,0.805
37,0.9404936021771925,2.8784976188953104,0.0,0.335,0.96,0.9,0.83,0.64,0.545,0.42,0.895,0.805
38,0.8886208405782436,2.880384225111741,0.0,0.335,0.965,0.915,0.78,0.64,0.555,0.45,0.88,0.83
39,0.8395026495744442,2.877703519967886,0.0,0.335,0.97,0.92,0.785,0.62,0.555,0.415,0.905,0.79
40,0.7881815844568713,2.89099383354187,0.0,0.315,0.96,0.92,0.805,0.635,0.5,0.41,0.9,0.79
