epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,4.875715448938567,4.873675199655386,0.0,0.005,0.525,0.275,0.115,0.02,0.025,0.005,0.095,0.045
2,4.37985516005549,4.858394659482515,0.0,0.005,0.435,0.31,0.105,0.03,0.025,0.005,0.115,0.055
3,3.7575158600149483,4.813930364755484,0.0,0.01,0.545,0.31,0.085,0.03,0.03,0.01,0.115,0.08
4,3.4839432856132246,4.708898984468901,0.0,0.03,0.6,0.39,0.185,0.06,0.065,0.035,0.175,0.075
5,3.3111610700344216,4.533588482783391,0.0,0.02,0.75,0.465,0.28,0.105,0.07,0.035,0.335,0.2
6,3.181977522784266,4.302807551163894,0.0,0.05,0.785,0.595,0.385,0.21,0.15,0.08,0.455,0.325
7,3.074711633139643,4.062496533760657,0.0,0.085,0.835,0.725,0.475,0.29,0.25,0.155,0.585,0.405
8,2.976570277378477,3.8463857173919678,0.0,0.14,0.915,0.73,0.63,0.37,0.295,0.195,0.7,0.505
9,2.8765799505957244,3.6659252643585205,0.0,0.18,0.925,0.85,0.64,0.42,0.345,0.27,0.74,0.585
10,2.7912152697300088,3.5303215430333066,0.0,0.225,0.96,0.835,0.685,0.485,0.395,0.3,0.795,0.605
11,2.698904218344853,3.412550155933087,0.0,0.24,0.95,0.905,0.78,0.52,0.44,0.335,0.845,0.695
12,2.6147411958924653,3.3237915222461405,0.0,0.25,0.965,0.925,0.745,0.545,0.47,0.35,0.845,0.72
13,2.529848049426901,3.2490607591775746,0.0,0.275,0.965,0.885,0.805,0.575,0.47,0.385,0.87,0.73
14,2.4480372400119386,3.1837219641758847,0.0,0.3,0.965,0.91,0.785,0.615,0.575,0.42,0.855,0.755
15,2.367081578435569,3.127210727104774,0.0,0.31,0.98,0.96,0.81,0.65,0.55,0.405,0.85,0.77
16,2.2885599382992448,3.0729307578160214,0.0,0.32,0.97,0.91,0.81,0.65,0.54,0.39,0.89,0.785
17,2.2091751221952767,3.0246921135829044,0.0,0.34,0.975,0.94,0.805,0.68,0.525,0.44,0.9,0.78
18,2.1294496521867554,2.987459842975323,0.0,0.34,0.975,0.93,0.805,0.675,0.525,0.415,0.875,0.79
19,2.0509900327386528,2.945955514907837,0.0,0.37,0.985,0.93,0.845,0.705,0.56,0.48,0.9,0.78
20,1.9738099811405971,2.910732085888202,0.0,0.38,0.975,0.94,0.805,0.69,0.585,0.45,0.92,0.805
21,1.8970999419689178,2.8710532738612247,0.0,0.385,0.985,0.92,0.83,0.71,0.6,0.47,0.91,0.815
22,1.8156961901434536,2.8381646413069506,0.0,0.4,0.99,0.925,0.825,0.72,0.56,0.515,0.915,0.815
23,1.7475071867992138,2.8101837084843564,0.0,0.4,0.98,0.92,0.87,0.715,0.605,0.5,0.935,0.795
24,1.6782873375662442,2.7800852152017446,0.0,0.405,0.985,0.905,0.84,0.72,0.625,0.505,0.93,0.82
25,1.5949594285981408,2.7493281181042013,0.0,0.405,0.965,0.95,0.855,0.725,0.625,0.5,0.915,0.805
26,1.5304134560042415,2.7320745358100305,0.0,0.395,0.98,0.965,0.845,0.73,0.625,0.5,0.93,0.815
27,1.4505307140021488,2.7157252385066104,0.0,0.4,0.955,0.94,0.84,0.725,0.63,0.505,0.915,0.85
28,1.3865427806459625,2.6876502220447245,0.0,0.41,0.98,0.955,0.885,0.73,0.63,0.53,0.95,0.835
29,1.3179096620658348,2.6729148718026967,0.0,0.405,0.985,0.94,0.885,0.725,0.65,0.5,0.95,0.825
30,1.2505942233677567,2.6544753221365123,0.0,0.405,0.975,0.96,0.895,0.725,0.615,0.505,0.945,0.825
31,1.1862852809758022,2.6344238978165846,0.0,0.405,0.985,0.945,0.875,0.73,0.605,0.535,0.955,0.835
32,1.1258337256209603,2.6131815176743727,0.0,0.41,0.98,0.935,0.87,0.735,0.61,0.475,0.93,0.845
33,1.0618333241035198,2.6000493306380053,0.0,0.41,0.98,0.96,0.855,0.73,0.63,0.51,0.945,0.85
34,1.0032643449717555,2.5792124454791727,0.0,0.405,0.975,0.95,0.82,0.74,0.625,0.515,0.93,0.87
35,0.9494513653475662,2.5720506814809947,0.0,0.405,0.975,0.975,0.89,0.745,0.66,0.505,0.945,0.86
36,0.8939129119289333,2.560978596027081,0.0,0.41,0.985,0.94,0.875,0.74,0.62,0.52,0.925,0.865
37,0.835835397757333,2.5387210845947266,0.0,0.42,0.98,0.945,0.88,0.75,0.64,0.54,0.96,0.85
38,0.7929430763269293,2.5399766885317288,0.0,0.41,0.995,0.92,0.825,0.75,0.625,0.535,0.95,0.845
39,0.7431499130766968,2.5341600271371694,0.0,0.425,0.98,0.92,0.87,0.75,0.635,0.54,0.945,0.88
40,0.7041282422583679,2.5238459293658915,0.0,0.435,0.97,0.965,0.865,0.745,0.615,0.555,0.95,0.865
