epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,3.813627006104274,3.532571478463038,0.0,0.025,0.775,0.52,0.3,0.125,0.085,0.05,0.345,0.195
2,2.946748386999095,2.816366648980988,0.0,0.055,0.815,0.685,0.44,0.205,0.165,0.095,0.485,0.31
3,2.5181603224381157,2.455702436840074,0.0,0.08,0.885,0.74,0.47,0.245,0.21,0.12,0.56,0.365
4,2.191751409476873,2.2224085755614253,0.0,0.08,0.89,0.765,0.51,0.28,0.21,0.155,0.57,0.41
5,1.9172695134167914,2.079685501274633,0.0,0.085,0.885,0.735,0.515,0.28,0.205,0.155,0.585,0.405
6,1.6695024486483425,1.9976032706289333,0.0,0.085,0.88,0.715,0.485,0.285,0.215,0.155,0.59,0.395
7,1.4483806979297396,1.974091628590367,0.0,0.1,0.87,0.72,0.505,0.295,0.235,0.155,0.605,0.445
8,1.251475660839664,1.9968883745660087,0.0,0.095,0.85,0.705,0.53,0.26,0.235,0.14,0.595,0.41
9,1.0786345272444677,2.0460838222708313,0.0,0.095,0.84,0.7,0.435,0.26,0.195,0.145,0.58,0.415
10,0.9322247351691076,2.1185756993396088,0.0,0.09,0.845,0.705,0.53,0.26,0.21,0.155,0.555,0.4
11,0.8067318868306739,2.1961614599555346,0.0,0.095,0.86,0.665,0.495,0.245,0.19,0.125,0.545,0.375
12,0.7099260121541221,2.2834602722282575,0.0,0.08,0.845,0.705,0.495,0.245,0.19,0.12,0.555,0.375
13,0.6308167391539873,2.355895940837942,0.0,0.085,0.835,0.735,0.435,0.245,0.23,0.145,0.51,0.42
14,0.5715713268452949,2.4232439493416718,0.0,0.085,0.885,0.675,0.465,0.26,0.195,0.13,0.525,0.39
15,0.5241960670622808,2.4592418711584525,0.0,0.08,0.85,0.7,0.445,0.255,0.185,0.115,0.525,0.365
16,0.4792375181402479,2.4800693779032628,0.0,0.1,0.775,0.69,0.47,0.255,0.215,0.135,0.52,0.375
17,0.43967976289050636,2.4967434380699123,0.0,0.085,0.84,0.63,0.47,0.255,0.24,0.155,0.565,0.37
