epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
1,3.824401632314428,3.6345701432535065,0.0,0.035,0.705,0.52,0.26,0.13,0.105,0.055,0.315,0.195
2,3.0457165870037706,2.9252153742466875,0.0,0.085,0.83,0.675,0.43,0.265,0.21,0.14,0.49,0.335
3,2.5982855523652115,2.5264520900955527,0.0,0.155,0.89,0.745,0.505,0.305,0.275,0.185,0.56,0.455
4,2.266765869125133,2.278130974892383,0.0,0.165,0.91,0.805,0.55,0.34,0.27,0.2,0.625,0.48
5,1.9899608106403561,2.12738888458121,0.0,0.15,0.895,0.79,0.575,0.38,0.305,0.19,0.615,0.49
6,1.7412786839740788,2.037407712363378,0.0,0.15,0.885,0.75,0.615,0.405,0.305,0.215,0.675,0.48
7,1.5166272835701888,2.0118089070135943,0.0,0.16,0.905,0.8,0.57,0.405,0.31,0.235,0.675,0.515
8,1.3120346042851312,2.0299490306510433,0.0,0.15,0.915,0.76,0.575,0.395,0.34,0.21,0.655,0.52
9,1.1315731692131887,2.0815643665616603,0.0,0.14,0.895,0.75,0.635,0.38,0.305,0.22,0.665,0.515
10,0.9740492741969345,2.155009721993377,0.0,0.15,0.89,0.775,0.645,0.38,0.315,0.22,0.67,0.51
11,0.8503131206902487,2.242012395367602,0.0,0.15,0.92,0.755,0.6,0.395,0.31,0.215,0.64,0.545
12,0.7440358473960714,2.332508495948857,0.0,0.17,0.88,0.79,0.635,0.395,0.295,0.23,0.71,0.55
13,0.6622700465819054,2.417451380660094,0.0,0.14,0.88,0.815,0.63,0.4,0.29,0.215,0.66,0.515
14,0.5970435331469225,2.480750374016332,0.0,0.15,0.9,0.8,0.555,0.37,0.28,0.23,0.68,0.505
15,0.5424221629340057,2.5382590411558685,0.0,0.14,0.875,0.785,0.555,0.335,0.305,0.2,0.64,0.47
16,0.4987540202552601,2.5572828039079263,0.0,0.155,0.865,0.775,0.57,0.36,0.285,0.21,0.6,0.49
17,0.46108155302806614,2.568099831818511,0.0,0.145,0.87,0.75,0.52,0.355,0.28,0.195,0.625,0.475
